rawg_id,rawg_slug,name,release_date,genres,tags,ratings,platforms,esrb,metacritic,description,_name,rating_score,category,source,name_key,estimated_downloads
978378,amerzone-the-explorers-legacy-3,Amerzone - The Explorer's Legacy,2025-04-24,Adventure|Action|Simulation,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|От первого лица|First-Person|Симулятор|Головоломка|Exploration|Point & Click|Реализм|Realistic|Cinematic|Симулятор ходьбы|Walking Simulator|Кинематографичная|Story|Атмосферная|Remake|Исследования|puzzles|Narration|Family Sharing|Interactive Fiction|Поиск предметов|nature|Hidden Object|Investigation|secrets|Повествовательная|Интерактивная литература|Природа|Беседы|Conversation|Расследования|Ремейк|characters|travel|birds,4.33,PC,Unknown,,"Feature List
About the Game
As a young journalist, you’ve been entrusted with a crucial mission: to cross the globe and reach the heart of a mysterious, faraway land…
Your goal is to bring back the last egg of the mythical “Great White Birds”. According to legend, they are bound up with the fate of the only country they call home: a land with strange, dangerous plants and wildlife that has been devastated by years of bloody dictatorship.
Amerzone - The Explorer's Legacy will call on your curiosity and observational skills as you explore its fascinating world,its magical locations and its painful history.
Solve puzzles, find clues that will help you along your way, and get immersed in the spirit of adventure, the beauty of the landscapes and the depth of the story.
During your journey, you will need to unravel the mysteries of the “hydraflot”, a fantastic invention that is equally at home in the water and in the sky. It will be your only ally to overcome the dangers standing between you and the heart of Amerzone…
First released in 1999, Amerzone is a legend in the adventure game genre.
While this remake naturally pays tribute to the original game, it also offers a totally new experience of it.
Benoît Sokal’s legacy, mingling realism and poetry, awareness of worldly truths and wonder, is both honored and magnified.
Will you manage to discover the sinister secret hidden behind the mystery of the White Birds?
In this distant land, where past and present overlap, your skills as a journalist will be your most powerful tools: make sense of the clues hidden in your environment, decipher the documents you uncover, and fulfil the explorer’s final wish by saving the Great White Birds!",Amerzone - The Explorer's Legacy,86.6,Mobile Game,rawg,amerzone - the explorer's legacy,
1008166,ball-x-pit,Ball x Pit,2025-10-15,Indie|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Инди|Full controller support|Steam Cloud|RPG|Ролевая игра|2D|Steam Leaderboards|Пиксельная графика|Контроллер|Pixel Graphics|Controller|Аркада|Crafting|Рогалик|Крафтинг|combat|Строительство|Roguelike|Building|Вид сверху|Упрощённый рогалик|Top-Down|Строительство базы|Roguelite|Shoot 'Em Up|Base Building|Бой|Bullet Hell|Шутер с видом сверху|Family Sharing|Top-Down Shooter|Action Roguelike|Экшен-рогалик|Пулевой ад,4.32,PC|Nintendo Switch|macOS,Unknown,,"BALL x PIT is a fast-paced fantasy roguelite where heroes must find the balls to plunge deeper into a seemingly bottomless pit of monsters. Develop arcane ammunition and resources in pursuit of treasure, recruiting additional heroes to aid you in your perilous quest.Ballbylon has fallen. After a meteoric and completely unexpected event annihilated the great city, all that remains is an ominous, yawning pit. Treasure hunters from far and wide flock to the city’s tomb to seek their fortune, plumbing the depths in search of Ballbylon’s scattered riches. Few return.The pit plays host to armies of barbaric creatures, hellbent on ending your quest before it even begins. Armed with a growing arsenal of magic-infused projectiles, batter your way through multiple levels of increasingly challenging obstacles to claim the ultimate prizes and rebuild New Ballbylon.Fuse Your BallsThe Ball Fusion system encourages explosive experimentation with over 60 randomized balls to equip and combine during your journey. Discover overpowered combinations and unexpected synergies from hundreds of possible outcomes.Build New BallbylonExpand New Ballbylon with over 70 unique buildings that provide gameplay bonuses and unlock further power-ups, new characters, and more! As your community grows, task homebound heroes with automated tasks to keep the resources coming while you dive deeper into the pit.Discover New RealmsFace legions of diverse enemies within the pit, battling through barren deserts, frozen caverns, savage forests and more. Each region offers its own unique set of hazards on top of hordes of increasingly challenging foes and mighty, screen-filling bosses.Recruit Fellow HuntersAs you explore the pit you’ll encounter fellow treasure hunters eager to add their skills to your expedition. Each character has unique, upgradable mechanics that totally change the way you play the game. Experimentation and adaptation are crucial to the success of New Ballbylon!",Ball x Pit,86.4,Independent Game,rawg,ball x pit,
1007483,battlefield-6-2,Battlefield 6,2025-10-10,Shooter|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|Co-op|Story Rich|cooperative|Шутер|FPS|Шутер от первого лица|Sandbox|Песочница|Насилие|Violent|Тактика|Tactical|PvP|Cross-Platform Multiplayer|Игрок против игрока|War|In-App Purchases|Война|Реализм|Realistic|combat|Военные действия|Military|Online PvP|Атмосферная|Бой|Destruction|Разрушения|Epic|Эпичная|Королевская битва|Modern|Современность|Battle Royale|HDR available|Stereo Sound|Custom Volume Controls|Surround Sound|Playable without Timed Input|Camera Comfort|Adjustable Difficulty|Subtitle Options|Color Alternatives|Keyboard Only Option|Chat Speech-to-text|Chat Text-to-speech,4.14,PC|PlayStation 5|Xbox Series S/X,Unknown,,"Lock & load for the ultimate all-out warfare experience. Fight in high-intensity infantry combat. Rip through the skies in aerial dogfights. Demolish your environment for a strategic advantage. In a war of tanks, fighter jets, and massive combat arsenals, your squad is the deadliest weapon. This is Battlefield 6.",Battlefield 6,82.8,Fighting Game,rawg,battlefield 6,
960559,bionic-bay,Bionic Bay,2025-04-16,Racing|Adventure|Action|Casual|Indie|Platformer,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|2D|Научная фантастика|Sci-fi|Головоломка|Сложная|Difficult|Steam Leaderboards|Платформер|Action-Adventure|Мрачная|Dark|Space|Космос|Приключенческий экшен|Тайна|Mystery|Физика|Physics|Головоломка-платформер|Атмосферная|Linear|Рисованная графика|Линейная|Hand-drawn|Destruction|Разрушения|Family Sharing|2D Platformer|2D-платформер|Science|Наука|Puzzle Platformer,4.43,PC,Unknown,,"An ordinary man in an extraordinary world. Bionic Bay is a new kind of a 2D platformer. It introduces a unique Swap mechanic, allowing players to interact with the physics-based world in new ways. The immersive gameplay is completed by spectacular environments and creative level design.",Bionic Bay,88.6,Independent Game,rawg,bionic bay,
1001007,blue-prince,Blue Prince,2025-04-10,Indie|Strategy|Adventure|Puzzle,Singleplayer|Для одного игрока|Приключение|Steam Achievements|Инди|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|Стратегия|От первого лица|First-Person|Симулятор|Головоломка|Exploration|Реиграбельность|Тайна|Replay Value|Mystery|3D|Симулятор ходьбы|Walking Simulator|Упрощённый рогалик|Атмосферная|Roguelite|Стилизация|Stylized|Исследования|Family Sharing|Редактор уровней|Level Editor|Investigation|Nonlinear|Нелинейная|Расследования|Escape Room|Квест-комната,4.13,PC|PlayStation 5|Xbox Series S/X,Unknown,,"Welcome to Mt. Holly, the mysterious manor with shifting rooms. In Blue Prince, you embark on a genre-defying experience, filled with a unique mix of mystery, strategy, and puzzles that weave together to create an unpredictable journey. Will your explorative steps lead you to the rumored Room 46?

DRAFTING YOUR JOURNEY
Upon reaching a closed door in Mt. Holly, you decide what room appears behind it and each decision shapes your path as you navigate through the manor. Every door can reveal new and exciting chambers that contain their own unique challenges and secrets. But be careful how you draft, for each day the manor’s floor plan resets and the rooms you saw today may not be the same rooms you see tomorrow.

EVERY STEP COUNTS
Your progress each day is shaped by the rooms you select to draft and the tools you find within them. Items in the game can be used in a number of creative ways to fuel your exploration deeper into the house, allowing you to adopt unique strategies to combat the challenges that each day brings. Yet, tread wisely – the house resets each dawn, erasing all but the permanent upgrades to your estate blueprint. That is, if you were clever enough to find one!

A HISTORY IN THE MAKING
As the heir of Mt. Holly, you have been tasked to explore its shifting halls in search of Room 46. Yet as your journey takes you further into the mansion’s depths, you start to discover that there is more lurking under the surface than a missing room. Investigate a past woven with the threads of blackmail, political intrigue, and the mysterious disappearance of a local children’s book author. The deeper you venture, the more you realize that the past is closer than it appears.",Blue Prince,82.6,Multiplayer,rawg,blue prince,
602355,broken-arrow,Broken Arrow,2025-06-19,Strategy,Singleplayer|Для одного игрока|Steam Achievements|Multiplayer|Steam Cloud|Для нескольких игроков|Co-op|Стратегия|Online Co-Op|Сложная|Difficult|Тактика|Tactical|Steam Workshop|PvP|Includes level editor|Игрок против игрока|War|Война|Реализм|3D|Realistic|combat|Стратегия в реальном времени|Building|Военные действия|RTS|Military|Online PvP|Steam Trading Cards|battle|Управление ресурсами|Resource Management|Family Sharing|Тактика в реальном времени|Tanks|Real Time Tactics|Танки|weapons|Modern|Современность|Военные конфликты|Wargame|fire|deckbuilding|Искусственный интеллект|enemy|Artificial Intelligence|Построение колоды|sea|tank|army|laser|Custom Volume Controls|tactics|Экшен-RTS|Action RTS|Playable without Timed Input|Naval Combat|Adjustable Difficulty|Subtitle Options|Adjustable Text Size|Морской бой|Mouse Only Option|aircraft|slots,3.75,PC,Unknown,,"Broken Arrow is a large-scale real-time modern warfare tactics game. The base game features both the American and Russian factions, more than 100 units and multiple deck specialisations per nation.
Broken Arrow brings the genre to a whole new level by combining the complexity of a joint-forces wargame with the typical real-time tactics action-packed gameplay.
UNIQUE ARMY BUILDING
Build your army deck by choosing from over 200 different units. Part of the battle is won by planning well: create the right combination of unit types and weapons to defeat your enemy, and don’t forget to consider the terrain when you choose.
Broken Arrow features a wide range of units, that are split into seven categories based on their characteristics: your army deck includes recon units, infantry, fighting vehicles, support units, logistical units, helicopters and airstrikes slots.
RECON UNITS: includes infantry, vehicles and drones specialized in the task of spotting and marking the enemy position.
INFANTRY: includes line infantry, shock troops, special forces, anti-tank teams, anti-aircraft teams.
FIGHTING VEHICLES: includes tanks, ATGM carriers and fire support vehicles.
SUPPORT: includes artillery and anti-aircraft vehicles that provide long range support on the battlefield.
LOGISTICS:, includes all the units designed to improve combat efficiency by providing ammunition, repairs, medical supplies and much more.
HELICOPTERS: includes multipurpose cavalry units best used far from the heatpoints.
AIRSTRIKES: includes many different weapons, swarms of tactical missiles and airdrops of troops, vehicles and supplies.
CUSTOM UNITS
Modern vehicles and aircraft are generally compatible with different weapons and armor packages; Broken Arrow features a detailed customisation system that allows you to modify the specific components of your units, either individually or as a loadout.
Customize your aircraft by choosing weapons, fuel tanks, designation pods, countermeasure pods and decoys.
Add armor or defensive systems to your vehicles and upgrade their weaponry and sensors.
Special forces have access to a wide variety of equipment for you to choose: add suppressors, thermal optics, reconnaissance drones, explosive charges and much more.
ACTION-PACKED COMBAT
Choose the right combination of units from your deck and deploy them to the battlefield, via land, the sea or from the air. Use paratroopers and helicopters to rapidly seize key locations, reinforce them with heavy tanks and break enemy counter attacks with artillery and tactical missiles.
Infiltrate special forces behind enemy lines to disrupt enemy logistics and provide laser designation for your planes. Use the terrain to your advantage to ambush, out flank and outsmart your enemy.",Broken Arrow,75.0,Fighting Game,rawg,broken arrow,
982433,cabernet,Cabernet,2025-02-20,Indie|Adventure|RPG|Simulation,Singleplayer|Для одного игрока|Steam Achievements|Full controller support|Steam Cloud|Глубокий сюжет|RPG|Ролевая игра|Story Rich|2D|Horror|Симулятор|Female Protagonist|role-playing|Point & Click|Решения с последствиями|Choices Matter|Тёмное фэнтези|Dark Fantasy|Multiple Endings|Визуальная новелла|Visual Novel|Стилизация|Stylized|Рисованная графика|Hand-drawn|battle|Romance|Симулятор свиданий|Choose Your Own Adventure|Dating Sim|Family Sharing|Interactive Fiction|Протагонистка|Несколько концовок|secrets|Vampire|Вампиры|night|Интерактивная литература|Выбери себе приключение|hunt|Романтика|sky|survive,4.29,PC,Unknown,,"Feature List
Higher Society The Countess has invited you to a world of decadence and intrigue. What price does she ask you to pay?
Dusk to DawnYour time is your own. Will you learn, hunt, ensnare or save in the time you have while the sun is down?
Unleash Your FangsThe freedom of flight. Hiding as an invisible ghost. Entrancing your meal with a gentle song. How will you use your new power?
Sacrifice or SacrilegeYou were once like the humans of this town. Decent. Well-meaning. Flawed. Will you protect them or abandon them in your new unlife?
About the Game
Cabernet is a 2D narrative RPG set in a 19th century Eastern European inspired world, with a modern twist. Guide Liza, a young vampire struggling with her morality and the supernatural world she has been pulled into. Will you retain your humanity or descend further into the horror you have become? Prepare to explore a hidden world of political intrigue, class conflict, and decadent corruption.
Use the moonlit sky to plan your next feast and explore. Mingle among vampiric society and the humans who feed them. Uncover who can aid your new kin and whose only purpose is to be drained.
Vampirism isn't just an unholy transformation of your body-- it also threatens to transform your mind. Will you choose to indulge your empathetic humanity or embrace your newfound nihilism?
But to lure your next meal somewhere safe and secluded, you'll need to understand who they are and what they desire. A kind-hearted, alcoholic coachman? A fraying newlywed couple? A greedy, yet charming charlatan? Their lives are yours to aid or unravel.
Art, literature, history, science, these are the skills you'll require to succeed. Your knowledge will be your greatest weapon in a world where the cunning drain the brutal of life.",Cabernet,85.8,Independent Game,rawg,cabernet,
1002879,cash-cleaner-simulator,Cash Cleaner Simulator,2025-05-08,Casual|Indie|Simulation,Singleplayer|Для одного игрока|Steam Achievements|Steam Cloud|Atmospheric|Казуальная игра|От первого лица|First-Person|Симулятор|Смешная|Funny|Sandbox|Юмор|Песочница|Comedy|Цветастая|Реализм|Colorful|Realistic|Физика|Physics|Расслабляющая|Менеджмент|Crime|Криминал|Management|Атмосферная|Relaxing|Чёрный юмор|Dark Humor|Управление ресурсами|Resource Management|Family Sharing|Immersive Sim|Satire|Сатира|Modern|Современность|Иммерсивный симулятор|Life Sim|Симулятор жизни,3.86,PC,Unknown,,"Cash Cleaner Simulator welcomes you into the life of low-level criminal with a very specific specialty. When your underworld contacts need dirty money to come back squeaky clean, they call you.Each delivery is different. Arriving in bags, boxes, or stuffed into mattresses, it's your job to retrieve it all, identify any problems like dirt, blood or counterfeit bills, and get to work. Your clients expect results! Do your job well, or do whatever it takes, and reap the rewards.In your downtime, order new tools to increase your efficiency or scale up your operation. Or buy useless stuff to cozy up your place!Take on jobs at your own pace, expand your cleaning services to gold bars, ancient statues, and more. Explore your lab...you may need more than just your eyes to discover its secrets. And maybe ask yourself how you got here...and why can't you leave?In this demo, you will have access to a variety of equipment and tools normally unlocked over time in the full game. Take on jobs, experiment, and clean some cash! Use washing machines, dryers, counting machines, and other tools to clean dirty cash. After cleaning, don’t forget to count it and send it to your handlers! Maybe not all of it; the money pile doesn’t grow by itself! Progress through the jobs to upgrade your gear and unlock new ways to handle the money!   Your phone is the center of your operation. Surf the darknet to find new jobs, order useful (and not so) tools, take pictures, and scan your surroundings for helpful tips. Just put it on mute when you’re working. You don’t want any distractions! All the satisfaction of having lots of money without any shootouts! Leave the danger to the others; you’re here to relax and clean the cash, and you don’t really care how it got here. Some paint the world red, but you paint it green! You know, like crisp clean bills!  Your place of work contains many secrets, so be on the lookout for them! You may need special tools like a UV lamp or wait for the night to come to find them, but the truth is out there… and so are more places to store your cash!    Everyone has to relax! Even those working with dirty cash obtained in questionable ways! Burn some cash figuratively and literally - cozy up your place, play Moneyball (it’s like basketball… BUT WITH CASH), and throw anything you want into a furnace for fun!  KEY FEATURES: Simulate piles of cash with realistic physics!   Use various tools to clean money bills, coins, and other objects!  Complete jobs to earn a living...just like real life!  Upgrade your equipment to improve the money flow!  Find secrets hidden around your lab!  Upset about your salary? Dry your tears with warm cash straight from the dryer. Relax and unwind with stacks of cash around you!",Cash Cleaner Simulator,77.2,Mobile Game,rawg,cash cleaner simulator,
983210,clair-obscur-expedition-33,Clair Obscur: Expedition 33,2025-04-24,RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Cloud|Глубокий сюжет|RPG|Ролевая игра|Story Rich|От третьего лица|Third Person|Фэнтези|Fantasy|Exploration|Female Protagonist|Action RPG|Ролевой экшен|Кастомизация персонажа|Character Customization|Post-apocalyptic|Реализм|Тёмное фэнтези|3D|Dark Fantasy|Realistic|JRPG|Японская ролевая игра|Исследования|Пошаговые сражения|Turn-Based Combat|Narration|Lore-Rich|Проработанная вселенная|Партийная ролевая игра|Протагонистка|Party-Based RPG|Повествовательная|Постапокалипсис|Однокористувацька гра|Досягнення Steam|Повна підтримка контролерів|Сімейна бібліотека,4.52,PC|PlayStation 5|Xbox Series S/X,Unknown,,"Once a year, the Paintress wakes and paints upon her monolith. Paints her cursed number. And everyone of that age turns to smoke and fades away. Year by year, that number ticks down and more of us are erased. Tomorrow she’ll wake and paint “33.” And tomorrow we depart on our final mission - Destroy the Paintress, so she can never paint death again.

We are Expedition 33.",Clair Obscur: Expedition 33,90.4,Narrative,rawg,clair obscur: expedition 33,
1011209,cloverpit,CloverPit,2025-09-26,Adventure|Action|Strategy|Simulation|Sports|Indie,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Инди|Full controller support|Steam Cloud|Стратегия|От первого лица|First-Person|Horror|Симулятор|Мрачная|Dark|3D|Рогалик|Roguelike|Multiple Endings|Упрощённый рогалик|Roguelite|Чёрный юмор|Сюрреалистичная|Surreal|Dark Humor|Управление ресурсами|Resource Management|Family Sharing|Психологическая|Psychological|Несколько концовок|Азартная|Gambling|Спорт,3.89,PC,Unknown,,"CloverPit is the demonic lovechild of Balatro and Buckshot Roulette, a rogue-lite that traps players in a hell of their own creation. Locked in a rusty cell with a slot machine and an ATM, you must pay off your debt at the end of each round, or fall to ruin – literally!Manipulate the slot machine to earn extra coins. Turn the odds in your favor with various prizes and charms that trigger big big combos, snowballing into a dazzling lucky run. Bend the rules, break the game, and pay off your captor long enough to earn a shot at freedom.Features: A gripping rogue-lite where every round could be your last! Meta-progression, seeded runs, unlockable run modifiers and power-ups! Push your score to new heights in Endless Mode! A hellish escape room atmosphere! 150 + items and synergies to boost your luck! A sinister tale of addiction and escape!P.S. IS THIS GAMBLING?Hell no! CloverPit is a rogue-lite horror game, and not a slot machine simulator. Our slot machine is designed to be broken and ultimately overcome, and will never ask you for real money!",CloverPit,77.8,Sports/Racing Game,rawg,cloverpit,
