game_name,release_date,developer,user_defined_tags,supported_os,price,estimated_downloads,reviews_like_rate,name,rating_score,category,source
R.E.P.O.,2025-02-26,semiwork,Early Access|Horror,win,5.79,12950000,96,R.E.P.O.,96.0,Independent Game,steam
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Independent Game,steam
Tower Unite,2025-04-19,PixelTail Games,Early Access|Open World|Sandbox|Simulation,win,10.49,2280000,89,Tower Unite,89.0,Independent Game,steam
RuneScape: Dragonwilds,2025-04-15,Jagex Ltd,Open World|Survival|Early Access,win,19.99,813400,84,RuneScape: Dragonwilds,84.0,Independent Game,steam
Fast Food Simulator,2024-12-10,No Ceiling Games,Early Access|Simulation|Management,win,7.99,708700,93,Fast Food Simulator,93.0,Independent Game,steam
Zort,2024-12-07,Londer Software,Early Access|Horror,win,2.0,650100,93,Zort,93.0,Independent Game,steam
Drive Beyond Horizons,2025-03-24,Drive Beyond Horizons,Early Access|Adventure|Action|Simulation|Driving,win,12.49,603200,80,Drive Beyond Horizons,80.0,Independent Game,steam
Assetto Corsa EVO,2025-01-16,KUNOS Simulazioni,Early Access|Driving|Simulation|Sports,win,24.99,439600,70,Assetto Corsa EVO,70.0,Independent Game,steam
Streamer Life Simulator 2,2025-01-23,Cheesecake Dev,Early Access|Simulation|Open World|Management,win,5.79,377300,83,Streamer Life Simulator 2,83.0,Independent Game,steam
Legend of Heroes: Three Kingdoms,2025-03-26,Free Wing,Early Access|Simulation|Strategy|RPG,win,10.49,343400,89,Legend of Heroes: Three Kingdoms,89.0,Independent Game,steam
Kiosk,2025-01-29,Vivi,Horror|Simulation,win|mac|linux,2.49,58200,87,Kiosk,87.0,Mobile Game,steam
Split Fiction,2025-03-06,Hazelight Studios,Platformer|Story Rich|Adventure,win,49.99,3800000,97,Split Fiction,97.0,Narrative,steam
MiSide,2024-12-11,AIHASTO,Anime|Story Rich|Horror|Simulation,win,7.99,3320000,98,MiSide,98.0,Narrative,steam
Clair Obscur: Expedition 33,2025-04-24,Sandfall Interactive,Turn-Based|Combat|Story Rich|Fantasy|JRPG|Souls-like|Adventure,win,34.99,3020000,95,Clair Obscur: Expedition 33,95.0,Narrative,steam
The Last of Us™ Part II Remastered,2025-04-03,Naughty Dog LLC,Story Rich|Shooter|Action|Stealth|Horror,win,49.99,710600,90,The Last of Us™ Part II Remastered,90.0,Narrative,steam
Blue Prince,2025-04-10,Dogubomb,Puzzle|Strategy|Story Rich,win,14.99,370600,86,Blue Prince,86.0,Narrative,steam
The NOexistenceN of you AND me,2024-12-16,Fontainebleau,Visual Novel|Horror,win|mac,1.49,232000,94,The NOexistenceN of you AND me,94.0,Narrative,steam
The Hundred Line -Last Defense Academy-,2025-04-24,Too Kyo Games,Story Rich|Adventure|Anime|Visual Novel|Simulation,win,59.99,143100,89,The Hundred Line -Last Defense Academy-,89.0,Narrative,steam
of the Devil,2025-02-06,nth Circle Studios,Visual Novel|Anime,win,0.0,117000,99,of the Devil,99.0,Narrative,steam
Lost Records: Bloom & Rage,2025-02-18,DON'T NOD,Visual Novel|Story Rich,win,18.99,111300,87,Lost Records: Bloom & Rage,87.0,Narrative,steam
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2025-03-06,KONAMI,JRPG|Pixel Graphics|2D|Story Rich,win,22.99,72600,95,Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,95.0,Narrative,steam
Marvel Rivals,2024-12-06,NetEase Games,Shooter|Action|Strategy,win,0.0,26240000,79,Marvel Rivals,79.0,Action/Adventure Game,steam
Grand Theft Auto V Enhanced,2025-03-04,Rockstar North,Open World|Action|Shooter|Driving|Sandbox,win,29.99,22200000,69,Grand Theft Auto V Enhanced,69.0,Action/Adventure Game,steam
Path of Exile 2,2024-12-06,Grinding Gear Games,Action|Adventure|RPG|Souls-like,win,29.99,7000000,72,Path of Exile 2,72.0,Action/Adventure Game,steam
Schedule I,2025-03-25,TVGS,Early Access|Simulation|Action|Open World,win,10.49,6990000,98,Schedule I,98.0,Action/Adventure Game,steam
Monster Hunter Wilds,2025-02-28,"CAPCOM Co., Ltd.",Action|RPG|Open World|Fantasy,win,52.49,6870000,62,Monster Hunter Wilds,62.0,Action/Adventure Game,steam
FragPunk,2025-03-07,Bad Guitar Studio,FPS|Action,win,0.0,4280000,73,FragPunk,73.0,Action/Adventure Game,steam
Split Fiction,2025-03-06,Hazelight Studios,Platformer|Story Rich|Adventure,win,49.99,3800000,97,Split Fiction,97.0,Action/Adventure Game,steam
