name,platform,release_date,metascore,user_score,developer,publisher,genre
The Legend of Zelda: Tears of the Kingdom - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,95.0,8.3,Nintendo,Nintendo,Open-World Action
The Legend of Zelda: Breath of the Wild - Nintendo Switch 2 Edition,Nintendo Switch 2,2025-06-05,95.0,8.5,Nintendo,Nintendo,Open-World Action
Hades II,PC,2025-09-25,95.0,8.6,Supergiant Games,Supergiant Games,Action RPG
Hades II,Nintendo Switch,2025-09-25,98.0,9.3,Supergiant Games,Supergiant Games,Action RPG
Hades II,Nintendo Switch 2,2025-09-25,94.0,8.6,Supergiant Games,Supergiant Games,Action RPG
Clair Obscur: Expedition 33,Xbox Series X,2025-04-24,91.0,9.7,Sandfall Interactive,Kepler Interactive|Maximum Entertainment,JRPG
Clair Obscur: Expedition 33,PC,2025-04-24,91.0,9.7,Sandfall Interactive,Kepler Interactive|Maximum Entertainment,JRPG
Clair Obscur: Expedition 33,PlayStation 5,2025-04-24,93.0,9.6,Sandfall Interactive,Kepler Interactive|Maximum Entertainment,JRPG
Blue Prince,PC,2025-04-10,92.0,7.8,Dogubomb,Raw Fury,First-Person Adventure
Blue Prince,PlayStation 5,2025-04-10,85.0,8.0,Dogubomb,Raw Fury,First-Person Adventure
Blue Prince,Xbox Series X,2025-04-10,90.0,8.4,Dogubomb,Raw Fury,First-Person Adventure
Split Fiction,PC,2025-03-06,90.0,9.0,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Split Fiction,PlayStation 5,2025-03-06,91.0,8.7,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Split Fiction,Xbox Series X,2025-03-06,93.0,8.9,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Split Fiction,Nintendo Switch 2,2025-03-06,89.0,9.1,Hazelight,EA Originals|Electronic Arts,Linear Action Adventure
Hollow Knight: Silksong,Nintendo Switch,2025-09-04,94.0,9.0,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,PC,2025-09-04,91.0,9.0,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,PlayStation 5,2025-09-04,92.0,8.6,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,Xbox Series X,2025-09-04,90.0,8.7,Team Cherry,Team Cherry,Metroidvania
Hollow Knight: Silksong,Xbox One,2025-09-04,91.0,9.0,Team Cherry,Team Cherry,Metroidvania
Donkey Kong Bananza,Nintendo Switch 2,2025-07-17,91.0,9.1,Nintendo,Nintendo,3D Platformer
Caves of Qud,PC,2024-12-05,91.0,8.3,Freehold Games,Kitfox Games,Roguelike
Trails in the Sky 1st Chapter,Nintendo Switch,2025-09-19,89.0,9.6,Falcom,GungHo|Falcom|Clear River Games,JRPG
Trails in the Sky 1st Chapter,PC,2025-09-19,89.0,9.1,Falcom,GungHo|Falcom|Clear River Games,JRPG
Trails in the Sky 1st Chapter,PlayStation 5,2025-09-19,90.0,9.0,Falcom,GungHo|Falcom|Clear River Games,JRPG
despelote,PC,2025-05-01,89.0,6.1,Julian Cordero,Panic Inc.,Adventure
The Talos Principle: Reawakened,Xbox Series X,2025-04-10,87.0,8.5,Croteam,Devolver Digital,First-Person Adventure
The Talos Principle: Reawakened,PC,2025-04-10,89.0,6.4,Croteam,Devolver Digital,First-Person Adventure
Death Stranding 2: On The Beach,PlayStation 5,2025-06-26,89.0,8.8,Kojima Productions,Sony Interactive Entertainment|PlayStation Studios,Open-World Action
Monster Hunter Wilds,PC,2025-02-28,88.0,5.4,Capcom,Capcom,Action RPG
Monster Hunter Wilds,Xbox Series X,2025-02-28,90.0,7.7,Capcom,Capcom,Action RPG
Monster Hunter Wilds,PlayStation 5,2025-02-28,88.0,7.1,Capcom,Capcom,Action RPG
Abiotic Factor,PC,2025-07-22,88.0,8.1,Deep Field Games,Playstack,Survival
Kingdom Come: Deliverance II,PC,2025-02-04,88.0,8.7,Warhorse Studios,Deep Silver,Action RPG
Kingdom Come: Deliverance II,PlayStation 5,2025-02-04,88.0,8.6,Warhorse Studios,Deep Silver,Action RPG
Kingdom Come: Deliverance II,Xbox Series X,2025-02-04,88.0,8.3,Warhorse Studios,Deep Silver,Action RPG
FINAL FANTASY TACTICS - The Ivalice Chronicles,PlayStation 5,2025-09-30,88.0,7.4,Creative Business Unit III,Square Enix,Turn-Based Tactics
FINAL FANTASY TACTICS - The Ivalice Chronicles,PC,2025-09-30,88.0,7.3,Creative Business Unit III,Square Enix,Turn-Based Tactics
FINAL FANTASY TACTICS - The Ivalice Chronicles,Nintendo Switch,2025-09-30,88.0,4.0,Creative Business Unit III,Square Enix,Turn-Based Tactics
Sword of the Sea,PlayStation 5,2025-08-19,88.0,8.6,Giant Squid,Giant Squid,Action Adventure
Sword of the Sea,PC,2025-08-19,82.0,7.8,Giant Squid,Giant Squid,Action Adventure
Super Mario Galaxy + Super Mario Galaxy 2,Nintendo Switch,2025-10-02,88.0,7.4,Nintendo,Nintendo,Compilation
Earthion,PC,2025-07-31,87.0,8.5,Ancient,Limited Run Games,Horizontal Shoot-'Em-Up
Monster Train 2,PC,2025-05-21,87.0,7.9,Shiny Shoe,Big Fan Games,Card Battle
Shinobi: Art of Vengeance,PC,2025-08-29,86.0,9.1,Lizardcube,Sega|Limited Run Games,2D Platformer
Shinobi: Art of Vengeance,PlayStation 5,2025-08-29,87.0,8.6,Lizardcube,Sega|Limited Run Games,2D Platformer
Shinobi: Art of Vengeance,PlayStation 4,2025-08-29,85.0,9.0,Lizardcube,Sega|Limited Run Games,2D Platformer
Shinobi: Art of Vengeance,Nintendo Switch,2025-08-29,89.0,9.5,Lizardcube,Sega|Limited Run Games,2D Platformer
Pipistrello and the Cursed Yoyo,PC,2025-05-28,87.0,8.2,Pocket Trap,PM Studios Inc.,Action Adventure
Pipistrello and the Cursed Yoyo,Nintendo Switch,2025-05-28,88.0,9.2,Pocket Trap,PM Studios Inc.,Action Adventure
ANTONBLAST,PC,2024-12-03,87.0,8.1,Summitsphere,Summitsphere,2D Platformer
Xenoblade Chronicles X: Definitive Edition,Nintendo Switch,2025-03-20,87.0,8.4,Monolith Soft,Nintendo,Action RPG
Lonely Mountains: Snow Riders,PC,2025-01-21,87.0,6.7,Megagon Industries,Megagon Industries,Skiing
The Roottrees are Dead,PC,2025-01-15,86.0,7.6,Robin Ward,Evil Trout,Point-and-Click
Ghost of Yotei,PlayStation 5,2025-10-02,86.0,8.3,Sucker Punch,Sony Interactive Entertainment,Open-World Action
Street Fighter 6: Years 1-2 Fighters Edition,Nintendo Switch 2,2025-06-05,86.0,7.9,Capcom,Capcom,2D Fighting
Mario Kart World,Nintendo Switch 2,2025-06-05,86.0,6.9,Nintendo,Nintendo,Auto Racing
Sea of Stars: Throes of the Watchmaker,Nintendo Switch,2025-05-20,86.0,7.7,Sabotage Studio,Sabotage Studio,JRPG
Indiana Jones and the Great Circle,PC,2024-12-09,87.0,7.9,MachineGames,Bethesda Softworks,Action Adventure
Indiana Jones and the Great Circle,Xbox Series X,2024-12-09,86.0,8.2,MachineGames,Bethesda Softworks,Action Adventure
Indiana Jones and the Great Circle,PlayStation 5,2024-12-09,88.0,7.5,MachineGames,Bethesda Softworks,Action Adventure
Deep Rock Galactic: Survivor,PC,2025-09-17,86.0,8.3,Funday Games,Ghost Ship Publishing,Top-Down Shoot-'Em-Up
DELTARUNE,Nintendo Switch 2,2025-06-05,86.0,8.9,8-4,8-4,JRPG
Silent Hill f,PlayStation 5,2025-09-25,86.0,7.0,NeoBards Entertainment,Konami,Survival
Silent Hill f,Xbox Series X,2025-09-25,83.0,7.0,NeoBards Entertainment,Konami,Survival
Silent Hill f,PC,2025-09-25,85.0,6.2,NeoBards Entertainment,Konami,Survival
Citizen Sleeper 2: Starward Vector,PC,2025-01-31,86.0,7.4,Jump Over The Age,Fellow Traveller,Western RPG
Citizen Sleeper 2: Starward Vector,Xbox Series X,2025-01-31,85.0,7.2,Jump Over The Age,Fellow Traveller,Western RPG
Age of Mythology: Retold - Immortal Pillars,PlayStation 5,2025-03-04,86.0,8.2,World's Edge,Xbox Game Studios,Real-Time Strategy
StarVaders,PC,2025-04-30,85.0,8.1,Pengonauts,Joystick Ventures|StarVaders Games,Card Battle
Yakuza 0: Director's Cut,Nintendo Switch 2,2025-06-05,85.0,7.7,Ryu ga Gotoku Studios,Sega,Open-World Action
Metal Gear Solid Delta: Snake Eater,PlayStation 5,2025-08-28,85.0,7.6,Konami,Konami,Action Adventure
Metal Gear Solid Delta: Snake Eater,Xbox Series X,2025-08-28,83.0,6.9,Konami,Konami,Action Adventure
Metal Gear Solid Delta: Snake Eater,PC,2025-08-28,83.0,6.4,Konami,Konami,Action Adventure
Lies of P: Overture,PlayStation 5,2025-06-06,84.0,8.4,Round 8 Studio of NEOWIZ,Neowiz,Action RPG
Lies of P: Overture,PlayStation 4,2025-06-06,85.0,8.0,Round 8 Studio of NEOWIZ,Neowiz,Action RPG
Dungeons of Dreadrock 2 - The Dead King's Secret,Nintendo Switch,2024-11-28,85.0,7.4,Prof. Dr. Christoph Minnameier,Prof. Dr. Christoph Minnameier,Action Adventure
