developer,releases,mean_metascore,mean_user
11 bit studios,3,84.33333333333333,8.766666666666666
3DClouds,2,69.5,7.0
7QUARK,1,62.0,3.3
8-4,1,86.0,8.9
A La Mode,1,83.0,5.7
AIHASTO,1,83.0,7.9
Aesir Interactive,1,44.0,6.1
Amazing Seasun Games,1,68.0,5.8
Ancient,1,87.0,8.5
Aquria,1,64.0,8.4
Arc System Works,1,76.0,6.7
Argonaut Games,1,69.0,7.1
Artdink,4,82.5,6.9
Asobo Studio,2,73.0,4.9
Aspyr,8,68.625,7.2875000000000005
Atari,2,85.5,8.2
Atlus,4,73.75,7.675000000000001
Bad Guitar Studio,1,74.0,5.8
Bandai Namco Forge Digital,1,74.0,6.2
Bandai Namco Games,3,59.333333333333336,6.733333333333333
Bennett Foddy,2,76.5,5.55
Bethesda Game Studios,3,81.33333333333333,7.333333333333333
Bithell Games,1,69.0,3.3
Blendo Games,1,79.0,4.8
Bloober Team,4,77.25,8.75
Blyts,1,80.0,6.6
Brace Yourself Games,1,79.0,8.0
Broken Bird Games,2,81.0,7.35
Brownies,1,73.0,9.3
Build a Rocket Boy,3,32.666666666666664,2.5666666666666664
Bungie,2,61.5,4.050000000000001
CD Projekt Red Studio,1,85.0,8.5
Capcom,7,84.28571428571429,6.085714285714286
Caracal Games,1,66.0,8.2
Cem Boray,1,63.0,6.9
Chimera Entertainment,2,74.5,7.050000000000001
Claymore Game Studios,1,72.0,6.8
Clifftop Games,1,82.0,8.9
Codemasters,2,80.5,7.95
Color Gray Games,1,85.0,8.2
Compile Heart,1,51.0,5.3
Compulsion Games,2,76.0,6.45
Creative Business Unit III,3,88.0,6.233333333333333
Crinkle Cut Games,1,79.0,7.0
Croteam,2,88.0,7.45
CyberConnect2,2,75.0,7.3
DONTNOD Entertainment,8,77.0,7.125
Darenn Keller,1,83.0,7.6
Dark Point Games,2,81.0,6.85
Dark Rift Horror,1,68.0,7.8
DeadToast Entertainment,1,80.0,6.9
Deep Field Games,1,88.0,8.1
Digital Eclipse,5,74.6,7.0
Digital Mind Games,1,59.0,6.5
Digital Sun,1,82.0,5.9
Dimps Corporation,1,73.0,6.0
Dogubomb,3,89.0,8.066666666666668
EA Canada,3,78.66666666666667,3.133333333333333
EA Tiburon,5,79.6,3.38
