game_name,release_date,price,estimated_downloads,primary_tag
ELDEN RING NIGHTREIGN,2025-05-30,25.99,840000,Souls-like
Game of Thrones: Kingsroad,2025-05-22,0.0,361500,Action
F1® 25,2025-05-30,59.99,30800,Driving
RoadCraft,2025-05-20,27.99,325900,Simulation
R.E.P.O.,2025-02-26,5.79,12950000,Early Access
Drive Beyond Horizons,2025-03-24,12.49,603200,Early Access
Clair Obscur: Expedition 33,2025-04-24,34.99,3020000,Turn-Based
Tainted Grail: The Fall of Avalon,2025-05-23,20.99,335200,Adventure
Schedule I,2025-03-25,10.49,6990000,Early Access
Marvel Rivals,2024-12-06,0.0,26240000,Shooter
9 Kings,2025-05-23,7.99,179600,Strategy
DOOM: The Dark Ages,2025-05-15,49.99,649500,Action
The Last of Us™ Part II Remastered,2025-04-03,49.99,710600,Story Rich
The Elder Scrolls IV: Oblivion Remastered,2025-04-22,34.99,2280000,RPG
Delta Force,2024-12-05,0.0,189300,FPS
Path of Exile 2,2024-12-06,29.99,7000000,Action
Monster Hunter Wilds,2025-02-28,52.49,6870000,Action
Assassin’s Creed Shadows,2025-03-20,55.99,686000,Action
Split Fiction,2025-03-06,49.99,3800000,Platformer
Wuthering Waves,2025-04-28,0.0,947900,Open World
FANTASY LIFE i: The Girl Who Steals Time,2025-05-21,49.99,383900,JRPG
S.T.A.L.K.E.R. 2: Heart of Chornobyl,2024-11-20,42.99,2690000,Open World
JDM: Japanese Drift Master,2025-05-21,24.99,73700,Driving
Farming Simulator 25,2024-11-12,9.99,1280000,Simulation
The First Berserker: Khazan,2025-03-27,59.99,515600,Souls-like
FragPunk,2025-03-07,0.0,4280000,FPS
Kingdom Come: Deliverance II,2025-02-04,44.99,3240000,RPG
Monster Train 2,2025-05-21,12.49,158000,Strategy
Legacy of Kain™ Soul Reaver 1&2 Remastered,2024-12-10,14.99,467000,Action
Oddsparks: An Automation Adventure,2025-05-27,14.99,106000,Building
Football Life Simulator,2025-04-11,4.99,46100,Simulation
Cinema Simulator 2025,2025-02-17,5.99,18600,Early Access
Cash Cleaner Simulator,2025-05-08,7.99,223100,Management
DRAGON QUEST III HD-2D Remake,2024-11-14,49.99,311000,JRPG
The Precinct,2025-05-13,14.99,256200,Sandbox
The Quinfall,2025-01-24,15.99,235300,Early Access
Aviassembly,2025-04-11,5.79,194000,Early Access
inZOI,2025-03-28,24.99,1360000,Simulation
FINAL FANTASY VII REBIRTH,2025-01-23,54.99,1240000,Adventure
WWE 2K25,2025-03-14,59.99,80100,Simulation
Grand Theft Auto V Enhanced,2025-03-04,29.99,22200000,Open World
Blacksmith Master,2025-05-15,9.99,58100,Strategy
Sid Meier's Civilization VII,2025-02-11,69.99,1090000,Strategy
Tinkerlands,2025-05-23,7.99,56400,Open World
Worshippers of Cthulhu,2025-05-22,12.49,94000,Simulation
The Midnight Walk,2025-05-08,18.99,32700,Adventure
Blue Prince,2025-04-10,14.99,370600,Puzzle
Survive the Fall,2025-05-22,14.99,18500,Survival
Fuel Harvest Together,2025-04-25,6.49,22300,Early Access
Zort,2024-12-07,2.0,650100,Early Access
Sniper Elite: Resistance,2025-01-30,22.99,109800,Action
Onimusha 2: Samurai's Destiny,2025-05-23,22.49,28600,Action
The Anomaly Project,2024-11-21,3.59,27600,Adventure
The Sims™ 2 Legacy Collection,2025-01-31,29.99,151500,Sandbox
Another Try 2,2025-04-18,3.99,45800,Early Access
Pushing it! Together - Sisyphus Co-op,2025-04-09,2.99,51500,Adventure
Mystopia,2025-05-27,4.99,90,Sandbox
Streamer Life Simulator 2,2025-01-23,5.79,377300,Early Access
MiSide,2024-12-11,7.99,3320000,Anime
The Slormancer,2025-05-13,10.49,413000,Action
Lost Records: Bloom & Rage,2025-02-18,18.99,111300,Visual Novel
Sultan's Game,2025-03-31,12.49,890200,RPG
Near-Mage,2025-05-27,10.49,1500,Adventure
Microsoft Flight Simulator 2024,2024-11-19,69.99,404400,Simulation
Strinova,2024-11-22,0.0,2180000,Anime
Cubic Odyssey,2025-05-14,12.49,58100,Open World
Cauldron,2025-05-21,7.99,31400,Turn-Based
RuneScape: Dragonwilds,2025-04-15,19.99,813400,Open World
Deadzone: Rogue,2025-04-29,12.49,266300,Early Access
AI LIMIT,2025-03-27,24.99,645900,Souls-like
Used Cars Simulator,2025-04-09,3.99,27100,Early Access
Suikoden I&II HD Remaster Gate Rune and Dunan Unification Wars,2025-03-06,22.99,72600,JRPG
Foundation,2025-01-31,17.99,1050000,Building
That's not my Neighbor,2025-03-11,1.99,292100,Adventure
Zombieville USA 3D,2025-03-07,5.79,83400,Action
Night is Coming,2025-04-14,12.49,8700,Early Access
Haste,2025-04-01,8.99,291300,Action
Cattle Country,2025-05-27,9.89,2900,Simulation
Tobacco Shop Simulator,2024-12-09,4.99,35200,Simulation
Into the Dead: Our Darkest Days,2025-04-10,12.99,174200,Early Access
Revenge of the Savage Planet,2025-05-08,18.04,54100,Adventure
Small Spaces,2025-05-27,7.29,4000,Early Access
Two Point Museum,2025-03-04,24.99,379900,Simulation
Space Engineers 2,2025-01-27,14.99,142600,Simulation
The Mosquito Gang,2025-05-20,5.79,6100,Simulation
ContractVille,2025-05-27,14.99,370000,Simulation
Beholder: Conductor,2025-04-23,7.79,67100,Simulation
VOIN,2024-12-10,9.99,270000,Early Access
Tower of Babel: Survivors of Chaos,2025-05-20,5.79,108400,Early Access
Cat & Farm Pals,2025-05-16,0.89,10800,Simulation
Zombie Cure Lab,2025-05-27,12.49,70000,Simulation
Sol Cesto,2025-05-27,6.59,9100,Early Access
Sephiria,2025-04-03,7.99,108300,Action
ENDER MAGNOLIA: Bloom in the Mist,2025-01-22,12.49,401100,2D
I Am Cat,2024-12-05,10.49,20300,Simulation
Tails of Iron 2: Whiskers of Winter,2025-01-28,14.99,46300,Action
The Hundred Line -Last Defense Academy-,2025-04-24,59.99,143100,Story Rich
DreadOut Remastered Collection,2025-05-14,14.99,1500,Adventure
ICBM: Escalation,2024-11-21,14.99,62100,Strategy
Level Devil,2025-03-25,3.99,28600,2D
The Headliners,2025-01-30,4.49,817700,Horror
Heroes of Hammerwatch II,2025-01-15,9.29,400300,RPG
Emissary Zero,2025-03-28,4.99,108400,Horror
"Love, Elections, and Chocolate",2025-03-28,14.99,25700,Visual Novel
Supercar Collection Simulator,2025-04-14,3.99,44500,Simulation
Assetto Corsa EVO,2025-01-16,24.99,439600,Early Access
Sorry We're Closed,2024-11-14,12.49,84900,Survival
I Am Future Apocalypse Survival,2024-11-13,10.49,353000,Simulation
My Summer Car,2025-01-08,7.99,3660000,Simulation
Fast Food Simulator,2024-12-10,7.99,708700,Early Access
Motorcycle Night Ride,2025-03-13,3.49,3100,Simulation
Kabuto Park,2025-05-28,2.99,4500,Cute
