rawg_id,rawg_slug,name,release_date,genres,tags,ratings,platforms,esrb,metacritic,description,rating_score,name_key
337273,dispatch-2,Dispatch,2025-10-22,Adventure|Action|Casual|Strategy|Indie,Atmospheric|Horror|Pixel Graphics|Dark|creepy|8-Bit|ascii|glitch,4.77,PC|PlayStation 5,Adults Only,,"Dispatch is a superhero workplace comedy where choices matter. Manage a dysfunctional team of misfit heroes and strategize who to send to emergencies around the city, all while balancing office politics, personal relationships, and your own quest to become a hero.",95.39999999999999,dispatch
974379,dragon-ball-sparking-zero,DRAGON BALL: Sparking! ZERO,2025-10-10,Action|Fighting,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Для нескольких игроков|Co-op|Открытый мир|Open World|cooperative|От третьего лица|Third Person|Split Screen|Локальный мультиплеер|Action-Adventure|Local Multiplayer|PvP|Аниме|Anime|Игрок против игрока|Приключенческий экшен|3D|Физика|Physics|combat|Соревновательная|Competitive|Online PvP|Файтинг|Псевдотрёхмерность|PvE|Бой|2.5D|Family Sharing|Remote Play Together|Зрелищные сражения|Spectacle fighter|Shared/Split Screen PvP|Боевые искусства|Martial Arts|Игрок против ИИ|HDR available|3D Fighter|3D-файтинг,4.6,PC|PlayStation 5|Xbox Series S/X|Nintendo Switch,Teen,,"DRAGON BALL: Sparking! ZERO takes the legendary gameplay of the Budokai Tenkaichi series and raises it to whole new levels. DRAGON BALL: Sparking! ZERO has an incredible number of playable characters, each with signature abilities, transformations and techniques. Unleash the fighting spirit within you and take the fight to arenas that crumble and react to your power as the battle rages on.",92.0,dragon ball: sparking! zero
989331,legacy-of-kaintm-soul-reaver-12-remastered,Legacy of Kain™ Soul Reaver 1&2 Remastered,2024-12-10,Platformer|Adventure|Action|Puzzle,,4.57,PC|PlayStation 5|Xbox One|PlayStation 4|Xbox Series S/X|Nintendo Switch,Mature,,"Experience the epic conflict of Kain and Raziel in original form or with remastered graphics.

Centuries after your former master, Kain, betrays and executes you, you rise again and embark on a relentless quest for revenge.

Slay your former vampire brethren with your claws, bolts of telekinetic energy, and the elemental Wraith Blade. Grow stronger by devouring the souls of your enemies.

The Elder God has granted you the ability to shift between the Spectral and Material Realms. Traverse the realms to solve puzzles, reveal new paths, and defeat your foes.",91.4,legacy of kain™ soul reaver 1&2 remastered
983210,clair-obscur-expedition-33,Clair Obscur: Expedition 33,2025-04-24,RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Cloud|Глубокий сюжет|RPG|Ролевая игра|Story Rich|От третьего лица|Third Person|Фэнтези|Fantasy|Exploration|Female Protagonist|Action RPG|Ролевой экшен|Кастомизация персонажа|Character Customization|Post-apocalyptic|Реализм|Тёмное фэнтези|3D|Dark Fantasy|Realistic|JRPG|Японская ролевая игра|Исследования|Пошаговые сражения|Turn-Based Combat|Narration|Lore-Rich|Проработанная вселенная|Партийная ролевая игра|Протагонистка|Party-Based RPG|Повествовательная|Постапокалипсис|Однокористувацька гра|Досягнення Steam|Повна підтримка контролерів|Сімейна бібліотека,4.52,PC|PlayStation 5|Xbox Series S/X,,,"Once a year, the Paintress wakes and paints upon her monolith. Paints her cursed number. And everyone of that age turns to smoke and fades away. Year by year, that number ticks down and more of us are erased. Tomorrow she’ll wake and paint “33.” And tomorrow we depart on our final mission - Destroy the Paintress, so she can never paint death again.

We are Expedition 33.",90.39999999999999,clair obscur: expedition 33
994603,split-fiction,Split Fiction,2025-03-06,Adventure|Action,Экшен|Приключение|Multiplayer|Steam Cloud|Для нескольких игроков|Глубокий сюжет|Co-op|Story Rich|cooperative|От третьего лица|Third Person|Научная фантастика|Sci-fi|Online Co-Op|Фэнтези|Fantasy|Female Protagonist|Split Screen|Локальный мультиплеер|Local Co-Op|Action-Adventure|Local Multiplayer|Приключенческий экшен|Сексуальный контент|Sexual Content|3D-платформер|3D Platformer|Разделение экрана|Протагонистка|Сетевой кооператив|Remote Play Together|LGBTQ+|Political|Политическая|Совместная кампания|Co-op Campaign|Политика|Politics|ЛГБТК+|Локальный кооператив|Succès Steam|Compat. contrôleurs complète|Cartes à échanger Steam|Partage familial|HDR disponible|multijoueur|Coopération en ligne|Coopération|Coop locale et écran partagé|Écran partagé|Multijoueur multiplateforme|Sous-titres disponibles,4.44,PC|PlayStation 5|Xbox Series S/X,,,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op action adventure from the studio behind 2021 Game of the Year Winner, It Takes Two. Mio and Zoe are contrasting writers – one writes sci-fi and the other writes fantasy – who become trapped in their own stories after being hooked up to a machine designed to steal their creative ideas. They’ll have to rely on each other to break free with their memories in-tact, working together to master a variety of abilities and overcome diverse challenges while jumping between sci-fi and fantasy worlds in this unexpected tale of friendship.

Split Fiction is a unique action-adventure experience that keeps you on the edge of your couch with unexpected moments. One minute you’re taming adorable dragons and the next you’re fighting as cyber ninjas, escaping terrifying trolls, or dodging hover cars thrown by a robotic parking attendant. It’s weird, it’s wild, and it’s designed to be shared.

Grab your co-op partner and get ready to overcome any obstacle thrown your way.",88.80000000000001,split fiction
998976,one-iced-latte-with-your-breast-milk-please,"One Iced Latte With Your Breast Milk, Please! ☕",2025-03-05,Casual|Indie|Adventure|Simulation,Singleplayer|Steam Achievements|Steam Cloud|Глубокий сюжет|Story Rich|2D|Смешная|Funny|Юмор|Comedy|Аниме|Anime|Нагота|Nudity|Милая|Решения с последствиями|Цветастая|Тайна|Cute|Mystery|Choices Matter|Colorful|Расслабляющая|Менеджмент|Multiple Endings|Визуальная новелла|Management|Visual Novel|Relaxing|Эмоциональная|Экономика|Romance|Economy|Симулятор свиданий|Emotional|Dating Sim|Family Sharing|Несколько концовок|Капитализм|Тайм-менеджмент|Capitalism|Романтика|Time Management,4.43,PC,,,"One very hot day, Katsuki-kun walks into an inconspicuous coffee shop called Milk Milk Coffee. There he meets the charming busty barista Moka-chan. Having fallen in love with her at first sight, out of excitement he asks for coffee with... breast milk. After this, his life will completely change!Brew a lot of coffee!Experiment with drinks!Build relationships with beautiful baristas!Increase the popularity of the coffee shop!「キミのブレストミルクのアイスラテを一つ下さい!」 2025 EX-LIZZARD DEVS",88.6,"one iced latte with your breast milk, please! ☕"
973398,the-rise-of-the-golden-idol,The Rise of the Golden Idol,2024-11-12,Indie|Adventure|Puzzle,Singleplayer|Для одного игрока|Приключение|Steam Achievements|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|2D|Partial Controller Support|Головоломка|Exploration|Пиксельная графика|Pixel Graphics|Мрачная|Dark|Point & Click|Решения с последствиями|Тайна|Mystery|Choices Matter|Historical|Crime|Криминал|Атмосферная|Detective|Детектив|Исследования|Повествование|Family Sharing|Триллер|Interactive Fiction|Thriller|Conspiracy|Investigation|Заговор|Интерактивная литература|Narrative|Историческая|Расследования,4.38,PC|PlayStation 5|Xbox One|Xbox Series S/X|Nintendo Switch|iOS|Android|macOS,,,"The Idol rises... 300 years later

Three centuries following the unspeakable fate of the Cloudsleys, the legend of the Golden Idol has all but faded. Now it is carried only in small whispers, uttered as an obscene myth.

Some are determined for this to change.


Welcome to the 70s - Blood and Disco

The Rise of the Golden Idol follows a tenacious relic hunter on a quest to unearth the powerful artifact that - if the legend is true - can reshape the world.

As the observer, you must investigate 15 strange cases of crime, death and depravity. Like before with The Case of the Golden Idol, you are free to investigate however you wish and build your own theory.

You must make sense of a grand mystery that unravels across an age of hallucinogens, fax machines, parapsychology and TV guides.

Enlightenment seekers, convicts, chat show hosts and corporate middle management will all have a role to play in the wider mysteries that unfold. Like always, many of these subjects will have their own motives. Some will be carrying more than agendas.",87.6,the rise of the golden idol
978378,amerzone-the-explorers-legacy-3,Amerzone - The Explorer's Legacy,2025-04-24,Adventure|Action|Simulation,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|От первого лица|First-Person|Симулятор|Головоломка|Exploration|Point & Click|Реализм|Realistic|Cinematic|Симулятор ходьбы|Walking Simulator|Кинематографичная|Story|Атмосферная|Remake|Исследования|puzzles|Narration|Family Sharing|Interactive Fiction|Поиск предметов|nature|Hidden Object|Investigation|secrets|Повествовательная|Интерактивная литература|Природа|Беседы|Conversation|Расследования|Ремейк|characters|travel|birds,4.33,PC,,,"Feature List
About the Game
As a young journalist, you’ve been entrusted with a crucial mission: to cross the globe and reach the heart of a mysterious, faraway land…
Your goal is to bring back the last egg of the mythical “Great White Birds”. According to legend, they are bound up with the fate of the only country they call home: a land with strange, dangerous plants and wildlife that has been devastated by years of bloody dictatorship.
Amerzone - The Explorer's Legacy will call on your curiosity and observational skills as you explore its fascinating world,its magical locations and its painful history.
Solve puzzles, find clues that will help you along your way, and get immersed in the spirit of adventure, the beauty of the landscapes and the depth of the story.
During your journey, you will need to unravel the mysteries of the “hydraflot”, a fantastic invention that is equally at home in the water and in the sky. It will be your only ally to overcome the dangers standing between you and the heart of Amerzone…
First released in 1999, Amerzone is a legend in the adventure game genre.
While this remake naturally pays tribute to the original game, it also offers a totally new experience of it.
Benoît Sokal’s legacy, mingling realism and poetry, awareness of worldly truths and wonder, is both honored and magnified.
Will you manage to discover the sinister secret hidden behind the mystery of the White Birds?
In this distant land, where past and present overlap, your skills as a journalist will be your most powerful tools: make sense of the clues hidden in your environment, decipher the documents you uncover, and fulfil the explorer’s final wish by saving the Great White Birds!",86.6,amerzone - the explorer's legacy
975393,indiana-jones-and-the-great-circle,Indiana Jones and the Great Circle,2024-12-09,Shooter|Adventure|Action,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Глубокий сюжет|Story Rich|Открытый мир|Open World|От первого лица|First-Person|Головоломка|Exploration|Платформер|Stealth|Стелс|Action-Adventure|Приключенческий экшен|Captions available|Реализм|3D|Realistic|Historical|3D-платформер|Исследования|Вторая мировая война|3D Platformer|World War II|Family Sharing|LGBTQ+|Political|Политическая|Investigation|Политика|Politics|Историческая|ЛГБТК+|Расследования|HDR available,4.32,PC|PlayStation 5|Xbox Series S/X,Rating Pending,,"Uncover one of history’s greatest mysteries in a first-person, single-player adventure. The year is 1937, sinister forces are scouring the globe for the secret to an ancient power connected to the Great Circle, and only one person can stop them - Indiana Jones™.

Live the adventure as Indy in a thrilling story full of exploration, immersive action, and intriguing puzzles. As the brilliant archaeologist – famed for his keen intellect, cunning resourcefulness, and trademark humor – you will travel the world in a race against enemy forces to discover the secrets to one of the greatest mysteries of all time.

Travel from the halls of Marshall College to the heart of the Vatican, the pyramids of Egypt, the sunken temples of Sukhothai, and beyond. When a break-in in the dead of night ends in a confrontation with a mysterious colossal man, you must set out to discover the world-shattering secret behind the theft of a seemingly unimportant artifact. Forging new alliances and facing familiar enemies, you’ll engage with intriguing characters, use guile and wits to solve ancient riddles, and survive intense set-pieces.",86.4,indiana jones and the great circle
1008166,ball-x-pit,Ball x Pit,2025-10-15,Indie|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Инди|Full controller support|Steam Cloud|RPG|Ролевая игра|2D|Steam Leaderboards|Пиксельная графика|Контроллер|Pixel Graphics|Controller|Аркада|Crafting|Рогалик|Крафтинг|combat|Строительство|Roguelike|Building|Вид сверху|Упрощённый рогалик|Top-Down|Строительство базы|Roguelite|Shoot 'Em Up|Base Building|Бой|Bullet Hell|Шутер с видом сверху|Family Sharing|Top-Down Shooter|Action Roguelike|Экшен-рогалик|Пулевой ад,4.32,PC|Nintendo Switch|macOS,,,"BALL x PIT is a fast-paced fantasy roguelite where heroes must find the balls to plunge deeper into a seemingly bottomless pit of monsters. Develop arcane ammunition and resources in pursuit of treasure, recruiting additional heroes to aid you in your perilous quest.Ballbylon has fallen. After a meteoric and completely unexpected event annihilated the great city, all that remains is an ominous, yawning pit. Treasure hunters from far and wide flock to the city’s tomb to seek their fortune, plumbing the depths in search of Ballbylon’s scattered riches. Few return.The pit plays host to armies of barbaric creatures, hellbent on ending your quest before it even begins. Armed with a growing arsenal of magic-infused projectiles, batter your way through multiple levels of increasingly challenging obstacles to claim the ultimate prizes and rebuild New Ballbylon.Fuse Your BallsThe Ball Fusion system encourages explosive experimentation with over 60 randomized balls to equip and combine during your journey. Discover overpowered combinations and unexpected synergies from hundreds of possible outcomes.Build New BallbylonExpand New Ballbylon with over 70 unique buildings that provide gameplay bonuses and unlock further power-ups, new characters, and more! As your community grows, task homebound heroes with automated tasks to keep the resources coming while you dive deeper into the pit.Discover New RealmsFace legions of diverse enemies within the pit, battling through barren deserts, frozen caverns, savage forests and more. Each region offers its own unique set of hazards on top of hordes of increasingly challenging foes and mighty, screen-filling bosses.Recruit Fellow HuntersAs you explore the pit you’ll encounter fellow treasure hunters eager to add their skills to your expedition. Each character has unique, upgradable mechanics that totally change the way you play the game. Experimentation and adaptation are crucial to the success of New Ballbylon!",86.4,ball x pit
