rawg_id,rawg_slug,name,release_date,genres,tags,ratings,platforms,esrb,metacritic,description,rating_score,name_key
998492,system-shock-2-25th-anniversary-remaster,System Shock 2: 25th Anniversary Remaster,2025-06-25,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|RPG|Co-op|Ролевая игра|Story Rich|Шутер|От первого лица|First-Person|Научная фантастика|Sci-fi|Horror|FPS|Шутер от первого лица|Online Co-Op|Action-Adventure|Action RPG|Ролевой экшен|Controller|Мрачная|Dark|Cross-Platform Multiplayer|Приключенческий экшен|Captions available|3D|Киберпанк|Cyberpunk|Story|Metroidvania|Метроидвания|Атмосферная|Robots|achievements|Destruction|Family Sharing|Immersive Sim|Сетевой кооператив|Mod|Иммерсивный симулятор|ship|LAN Co-op|characters|rogue,4.62,PC,Mature,,"Accolades
About the GameSystem Shock® 2: 25th Anniversary Remaster by Nightdive Studios brings to you the modernized remaster of the FPS/RPG classic, featuring Cross-Play Co-Op multiplayer, Mod Support and more.It’s the year 2114 and as you awake from cryo sleep on the FTL ship Von Braun, you are unable to remember who or where you are… and something has gone terribly wrong. Hybrid mutants and deadly robots roam the halls while the cries from the remaining crew reverberate through the cold hull of the ship. SHODAN, a rogue AI bent on the destruction of mankind has taken over and it's up to you to stop her.Delve through the corridors of the derelict ship Von Braun and immerse yourself in the story rich atmosphere and environments. Explore deck by deck and unravel the horrifying fate of the Von Braun and her crew.Cross-Play Co-Op multiplayer.Choose from 3 branches of the Military; O.S.A, Marines or Navy and experiment with different play styles.Additional Mod SupportUp to 144FPS performance with ultra-widescreen support.50 Achievements to unlock.Enhanced Characters, Weapon Models and Animations.Optimized Controller support.Quality of Life Improvements.",92.4,system shock 2: 25th anniversary remaster
974379,dragon-ball-sparking-zero,DRAGON BALL: Sparking! ZERO,2025-10-10,Action|Fighting,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Для нескольких игроков|Co-op|Открытый мир|Open World|cooperative|От третьего лица|Third Person|Split Screen|Локальный мультиплеер|Action-Adventure|Local Multiplayer|PvP|Аниме|Anime|Игрок против игрока|Приключенческий экшен|3D|Физика|Physics|combat|Соревновательная|Competitive|Online PvP|Файтинг|Псевдотрёхмерность|PvE|Бой|2.5D|Family Sharing|Remote Play Together|Зрелищные сражения|Spectacle fighter|Shared/Split Screen PvP|Боевые искусства|Martial Arts|Игрок против ИИ|HDR available|3D Fighter|3D-файтинг,4.6,PC|PlayStation 5|Xbox Series S/X|Nintendo Switch,Teen,,"DRAGON BALL: Sparking! ZERO takes the legendary gameplay of the Budokai Tenkaichi series and raises it to whole new levels. DRAGON BALL: Sparking! ZERO has an incredible number of playable characters, each with signature abilities, transformations and techniques. Unleash the fighting spirit within you and take the fight to arenas that crumble and react to your power as the battle rages on.",92.0,dragon ball: sparking! zero
960559,bionic-bay,Bionic Bay,2025-04-16,Racing|Adventure|Action|Casual|Indie|Platformer,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|2D|Научная фантастика|Sci-fi|Головоломка|Сложная|Difficult|Steam Leaderboards|Платформер|Action-Adventure|Мрачная|Dark|Space|Космос|Приключенческий экшен|Тайна|Mystery|Физика|Physics|Головоломка-платформер|Атмосферная|Linear|Рисованная графика|Линейная|Hand-drawn|Destruction|Разрушения|Family Sharing|2D Platformer|2D-платформер|Science|Наука|Puzzle Platformer,4.43,PC,,,"An ordinary man in an extraordinary world. Bionic Bay is a new kind of a 2D platformer. It introduces a unique Swap mechanic, allowing players to interact with the physics-based world in new ways. The immersive gameplay is completed by spectacular environments and creative level design.",88.6,bionic bay
998976,one-iced-latte-with-your-breast-milk-please,"One Iced Latte With Your Breast Milk, Please! ☕",2025-03-05,Casual|Indie|Adventure|Simulation,Singleplayer|Steam Achievements|Steam Cloud|Глубокий сюжет|Story Rich|2D|Смешная|Funny|Юмор|Comedy|Аниме|Anime|Нагота|Nudity|Милая|Решения с последствиями|Цветастая|Тайна|Cute|Mystery|Choices Matter|Colorful|Расслабляющая|Менеджмент|Multiple Endings|Визуальная новелла|Management|Visual Novel|Relaxing|Эмоциональная|Экономика|Romance|Economy|Симулятор свиданий|Emotional|Dating Sim|Family Sharing|Несколько концовок|Капитализм|Тайм-менеджмент|Capitalism|Романтика|Time Management,4.43,PC,,,"One very hot day, Katsuki-kun walks into an inconspicuous coffee shop called Milk Milk Coffee. There he meets the charming busty barista Moka-chan. Having fallen in love with her at first sight, out of excitement he asks for coffee with... breast milk. After this, his life will completely change!Brew a lot of coffee!Experiment with drinks!Build relationships with beautiful baristas!Increase the popularity of the coffee shop!「キミのブレストミルクのアイスラテを一つ下さい!」 2025 EX-LIZZARD DEVS",88.6,"one iced latte with your breast milk, please! ☕"
891238,hades-ii,Hades II,2025-09-25,Indie|Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Инди|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|RPG|Ролевая игра|Story Rich|Сложная|Difficult|Female Protagonist|Ранний доступ|Action RPG|Ролевой экшен|Early Access|Слэшер|Hack and Slash|Captions available|Рогалик|Изометрия|Roguelike|Isometric|Упрощённый рогалик|Атмосферная|Roguelite|Dungeon Crawler|Рисованная графика|Hand-drawn|Похожа на Dark Souls|Одна жизнь|Perma Death|Family Sharing|Протагонистка|Souls-like|Mythology|Мифология|Action Roguelike|Экшен-рогалик|Подземелья,4.4,PC|Nintendo Switch,,,"The first-ever sequel from Supergiant Games builds on the best aspects of the original god-like rogue-like dungeon crawler in an all-new, action-packed, endlessly replayable experience rooted in the Underworld of Greek myth and its deep connections to the dawn of witchcraft.
BATTLE BEYOND THE UNDERWORLD
As the immortal Princess of the Underworld, you'll explore a bigger, deeper mythic world, vanquishing the forces of the Titan of Time with the full might of Olympus behind you, in a sweeping story that continually unfolds through your every setback and accomplishment.
MASTER WITCHCRAFT AND DARK SORCERY
Infuse your legendary weapons of Night with ancient magick, so that none may stand in your way. Become stronger still with powerful Boons from more than a dozen Olympian gods, from Apollo to Zeus. There are nearly limitless ways to build your abilities.",88.0,hades ii
973398,the-rise-of-the-golden-idol,The Rise of the Golden Idol,2024-11-12,Indie|Adventure|Puzzle,Singleplayer|Для одного игрока|Приключение|Steam Achievements|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|2D|Partial Controller Support|Головоломка|Exploration|Пиксельная графика|Pixel Graphics|Мрачная|Dark|Point & Click|Решения с последствиями|Тайна|Mystery|Choices Matter|Historical|Crime|Криминал|Атмосферная|Detective|Детектив|Исследования|Повествование|Family Sharing|Триллер|Interactive Fiction|Thriller|Conspiracy|Investigation|Заговор|Интерактивная литература|Narrative|Историческая|Расследования,4.38,PC|PlayStation 5|Xbox One|Xbox Series S/X|Nintendo Switch|iOS|Android|macOS,,,"The Idol rises... 300 years later

Three centuries following the unspeakable fate of the Cloudsleys, the legend of the Golden Idol has all but faded. Now it is carried only in small whispers, uttered as an obscene myth.

Some are determined for this to change.


Welcome to the 70s - Blood and Disco

The Rise of the Golden Idol follows a tenacious relic hunter on a quest to unearth the powerful artifact that - if the legend is true - can reshape the world.

As the observer, you must investigate 15 strange cases of crime, death and depravity. Like before with The Case of the Golden Idol, you are free to investigate however you wish and build your own theory.

You must make sense of a grand mystery that unravels across an age of hallucinogens, fax machines, parapsychology and TV guides.

Enlightenment seekers, convicts, chat show hosts and corporate middle management will all have a role to play in the wider mysteries that unfold. Like always, many of these subjects will have their own motives. Some will be carrying more than agendas.",87.6,the rise of the golden idol
980502,kingdom-come-deliverance-ii,Kingdom Come: Deliverance II,2025-02-03,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|RPG|Ролевая игра|Story Rich|Открытый мир|Open World|От первого лица|First-Person|Action-Adventure|Приключенческий экшен|Решения с последствиями|Реализм|Choices Matter|3D|Realistic|Historical|combat|Средневековье|Medieval|Steam Trading Cards|Атмосферная|Бой|Альтернативная история|Alternate History|Family Sharing|Сражения на мечах|LGBTQ+|Political|Политическая|Swordplay|Историческая|immersive|ЛГБТК+|Иммерсивная игра,4.37,PC|PlayStation 5|Xbox Series S/X,Adults Only,,"Kingdom of Bohemia, Early 15th Century: chaos has befallen the kingdom.  As invaders pillage this ungoverned land, sowing fear and terror, Henry of Skalitz seeks revenge for his murdered family.

Now a trusted member of the rightful king’s allies, Henry is sent to escort Sir Hans Capon on a diplomatic mission. After they are ambushed and nearly killed, the two young men embark on a series of perilous adventures, putting their skills, character and friendship to the ultimate test.",87.4,kingdom come: deliverance ii
801122,the-alters,The Alters,2025-06-13,Adventure,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Стратегия|От третьего лица|Third Person|Научная фантастика|Sci-fi|Exploration|Выживание|Survival|Action-Adventure|Space|Космос|Приключенческий экшен|War|3D|Crafting|Крафтинг|Futuristic|Будущее|Менеджмент|Story|Steam Trading Cards|Management|Remake|Строительство базы|Исследования|Base Building|Управление ресурсами|Resource Management|Family Sharing|Психологическая|Psychological|Science|Наука|death|Философская|Тайм-менеджмент|planet|Time Management|philosophical|Stereo Sound|Custom Volume Controls|Surround Sound|Playable without Timed Input|Camera Comfort|mine|Adjustable Difficulty|choices|Subtitle Options|choice|Adjustable Text Size|spirit|board|philosophy,4.35,PC|PlayStation 5|Xbox Series S/X,,,"Man cannot remake himself without suffering, for he is both the marble and the sculptor - Alexis Carrel
This is the story of Jan Dolski, a simple worker facing circumstances that lead him to a life-changing crossroads. Crash landing on a distant planet, stranded and alone, Jan finds himself in a daunting life and death situation. His only hope for survival is to bring helping hands on board. Not yet understanding the weight of his choice, Jan must create alternate versions of himself if he is to forge ahead: the alters.
The Alters is a game about life-changing moments. Those binary decisions that happen in nanoseconds, but have influence over your entire life. It is about looking into yourself, into your past, and discovering that you are who you are as a sum of those numerous choices. And when you do that a fundamental question arises: WHAT IF…?
What If I altered my life? What if I took a different path? Who would I be? What would I say to a different me? What could I learn if I talked to my altered selves? What if I talk to my many selves at once?! What if…?
Forged in the spirit of meaningful entertainment: a unique philosophy of creation by the award-winning team, the makers of This War of Mine and Frostpunk.",87.0,the alters
978378,amerzone-the-explorers-legacy-3,Amerzone - The Explorer's Legacy,2025-04-24,Adventure|Action|Simulation,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|От первого лица|First-Person|Симулятор|Головоломка|Exploration|Point & Click|Реализм|Realistic|Cinematic|Симулятор ходьбы|Walking Simulator|Кинематографичная|Story|Атмосферная|Remake|Исследования|puzzles|Narration|Family Sharing|Interactive Fiction|Поиск предметов|nature|Hidden Object|Investigation|secrets|Повествовательная|Интерактивная литература|Природа|Беседы|Conversation|Расследования|Ремейк|characters|travel|birds,4.33,PC,,,"Feature List
About the Game
As a young journalist, you’ve been entrusted with a crucial mission: to cross the globe and reach the heart of a mysterious, faraway land…
Your goal is to bring back the last egg of the mythical “Great White Birds”. According to legend, they are bound up with the fate of the only country they call home: a land with strange, dangerous plants and wildlife that has been devastated by years of bloody dictatorship.
Amerzone - The Explorer's Legacy will call on your curiosity and observational skills as you explore its fascinating world,its magical locations and its painful history.
Solve puzzles, find clues that will help you along your way, and get immersed in the spirit of adventure, the beauty of the landscapes and the depth of the story.
During your journey, you will need to unravel the mysteries of the “hydraflot”, a fantastic invention that is equally at home in the water and in the sky. It will be your only ally to overcome the dangers standing between you and the heart of Amerzone…
First released in 1999, Amerzone is a legend in the adventure game genre.
While this remake naturally pays tribute to the original game, it also offers a totally new experience of it.
Benoît Sokal’s legacy, mingling realism and poetry, awareness of worldly truths and wonder, is both honored and magnified.
Will you manage to discover the sinister secret hidden behind the mystery of the White Birds?
In this distant land, where past and present overlap, your skills as a journalist will be your most powerful tools: make sense of the clues hidden in your environment, decipher the documents you uncover, and fulfil the explorer’s final wish by saving the Great White Birds!",86.6,amerzone - the explorer's legacy
975393,indiana-jones-and-the-great-circle,Indiana Jones and the Great Circle,2024-12-09,Shooter|Adventure|Action,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Глубокий сюжет|Story Rich|Открытый мир|Open World|От первого лица|First-Person|Головоломка|Exploration|Платформер|Stealth|Стелс|Action-Adventure|Приключенческий экшен|Captions available|Реализм|3D|Realistic|Historical|3D-платформер|Исследования|Вторая мировая война|3D Platformer|World War II|Family Sharing|LGBTQ+|Political|Политическая|Investigation|Политика|Politics|Историческая|ЛГБТК+|Расследования|HDR available,4.32,PC|PlayStation 5|Xbox Series S/X,Rating Pending,,"Uncover one of history’s greatest mysteries in a first-person, single-player adventure. The year is 1937, sinister forces are scouring the globe for the secret to an ancient power connected to the Great Circle, and only one person can stop them - Indiana Jones™.

Live the adventure as Indy in a thrilling story full of exploration, immersive action, and intriguing puzzles. As the brilliant archaeologist – famed for his keen intellect, cunning resourcefulness, and trademark humor – you will travel the world in a race against enemy forces to discover the secrets to one of the greatest mysteries of all time.

Travel from the halls of Marshall College to the heart of the Vatican, the pyramids of Egypt, the sunken temples of Sukhothai, and beyond. When a break-in in the dead of night ends in a confrontation with a mysterious colossal man, you must set out to discover the world-shattering secret behind the theft of a seemingly unimportant artifact. Forging new alliances and facing familiar enemies, you’ll engage with intriguing characters, use guile and wits to solve ancient riddles, and survive intense set-pieces.",86.4,indiana jones and the great circle
