rawg_id,rawg_slug,name,release_date,genres,tags,ratings,platforms,esrb,metacritic,description,rating_score,name_key
974379,dragon-ball-sparking-zero,DRAGON BALL: Sparking! ZERO,2025-10-10,Action|Fighting,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Для нескольких игроков|Co-op|Открытый мир|Open World|cooperative|От третьего лица|Third Person|Split Screen|Локальный мультиплеер|Action-Adventure|Local Multiplayer|PvP|Аниме|Anime|Игрок против игрока|Приключенческий экшен|3D|Физика|Physics|combat|Соревновательная|Competitive|Online PvP|Файтинг|Псевдотрёхмерность|PvE|Бой|2.5D|Family Sharing|Remote Play Together|Зрелищные сражения|Spectacle fighter|Shared/Split Screen PvP|Боевые искусства|Martial Arts|Игрок против ИИ|HDR available|3D Fighter|3D-файтинг,4.6,PC|PlayStation 5|Xbox Series S/X|Nintendo Switch,Teen,,"DRAGON BALL: Sparking! ZERO takes the legendary gameplay of the Budokai Tenkaichi series and raises it to whole new levels. DRAGON BALL: Sparking! ZERO has an incredible number of playable characters, each with signature abilities, transformations and techniques. Unleash the fighting spirit within you and take the fight to arenas that crumble and react to your power as the battle rages on.",92.0,dragon ball: sparking! zero
994603,split-fiction,Split Fiction,2025-03-06,Adventure|Action,Экшен|Приключение|Multiplayer|Steam Cloud|Для нескольких игроков|Глубокий сюжет|Co-op|Story Rich|cooperative|От третьего лица|Third Person|Научная фантастика|Sci-fi|Online Co-Op|Фэнтези|Fantasy|Female Protagonist|Split Screen|Локальный мультиплеер|Local Co-Op|Action-Adventure|Local Multiplayer|Приключенческий экшен|Сексуальный контент|Sexual Content|3D-платформер|3D Platformer|Разделение экрана|Протагонистка|Сетевой кооператив|Remote Play Together|LGBTQ+|Political|Политическая|Совместная кампания|Co-op Campaign|Политика|Politics|ЛГБТК+|Локальный кооператив|Succès Steam|Compat. contrôleurs complète|Cartes à échanger Steam|Partage familial|HDR disponible|multijoueur|Coopération en ligne|Coopération|Coop locale et écran partagé|Écran partagé|Multijoueur multiplateforme|Sous-titres disponibles,4.44,PC|PlayStation 5|Xbox Series S/X,,,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op action adventure from the studio behind 2021 Game of the Year Winner, It Takes Two. Mio and Zoe are contrasting writers – one writes sci-fi and the other writes fantasy – who become trapped in their own stories after being hooked up to a machine designed to steal their creative ideas. They’ll have to rely on each other to break free with their memories in-tact, working together to master a variety of abilities and overcome diverse challenges while jumping between sci-fi and fantasy worlds in this unexpected tale of friendship.

Split Fiction is a unique action-adventure experience that keeps you on the edge of your couch with unexpected moments. One minute you’re taming adorable dragons and the next you’re fighting as cyber ninjas, escaping terrifying trolls, or dodging hover cars thrown by a robotic parking attendant. It’s weird, it’s wild, and it’s designed to be shared.

Grab your co-op partner and get ready to overcome any obstacle thrown your way.",88.80000000000001,split fiction
998976,one-iced-latte-with-your-breast-milk-please,"One Iced Latte With Your Breast Milk, Please! ☕",2025-03-05,Casual|Indie|Adventure|Simulation,Singleplayer|Steam Achievements|Steam Cloud|Глубокий сюжет|Story Rich|2D|Смешная|Funny|Юмор|Comedy|Аниме|Anime|Нагота|Nudity|Милая|Решения с последствиями|Цветастая|Тайна|Cute|Mystery|Choices Matter|Colorful|Расслабляющая|Менеджмент|Multiple Endings|Визуальная новелла|Management|Visual Novel|Relaxing|Эмоциональная|Экономика|Romance|Economy|Симулятор свиданий|Emotional|Dating Sim|Family Sharing|Несколько концовок|Капитализм|Тайм-менеджмент|Capitalism|Романтика|Time Management,4.43,PC,,,"One very hot day, Katsuki-kun walks into an inconspicuous coffee shop called Milk Milk Coffee. There he meets the charming busty barista Moka-chan. Having fallen in love with her at first sight, out of excitement he asks for coffee with... breast milk. After this, his life will completely change!Brew a lot of coffee!Experiment with drinks!Build relationships with beautiful baristas!Increase the popularity of the coffee shop!「キミのブレストミルクのアイスラテを一つ下さい!」 2025 EX-LIZZARD DEVS",88.6,"one iced latte with your breast milk, please! ☕"
1007483,battlefield-6-2,Battlefield 6,2025-10-10,Shooter|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|Co-op|Story Rich|cooperative|Шутер|FPS|Шутер от первого лица|Sandbox|Песочница|Насилие|Violent|Тактика|Tactical|PvP|Cross-Platform Multiplayer|Игрок против игрока|War|In-App Purchases|Война|Реализм|Realistic|combat|Военные действия|Military|Online PvP|Атмосферная|Бой|Destruction|Разрушения|Epic|Эпичная|Королевская битва|Modern|Современность|Battle Royale|HDR available|Stereo Sound|Custom Volume Controls|Surround Sound|Playable without Timed Input|Camera Comfort|Adjustable Difficulty|Subtitle Options|Color Alternatives|Keyboard Only Option|Chat Speech-to-text|Chat Text-to-speech,4.14,PC|PlayStation 5|Xbox Series S/X,,,"Lock & load for the ultimate all-out warfare experience. Fight in high-intensity infantry combat. Rip through the skies in aerial dogfights. Demolish your environment for a strategic advantage. In a war of tanks, fighter jets, and massive combat arsenals, your squad is the deadliest weapon. This is Battlefield 6.",82.8,battlefield 6
996616,ninja-gaiden-4,Ninja Gaiden 4,2025-10-21,Adventure|Action,Singleplayer|Для одного игрока|Экшен|Приключение|От третьего лица|Third Person|Сложная|Gore|Difficult|Насилие|Violent|Action-Adventure|Слэшер|Hack and Slash|Приключенческий экшен|3D|Киберпанк|Cyberpunk|Похожа на Dark Souls|Ниндзя|Souls-like|Ninja|Character Action Game|Яркий главный герой|Зрелищные сражения|Spectacle fighter|Сцены жестокости|单人|Steam 成就|Steam 云|adventure-games|完全支持控制器|家庭共享|hack--slash|环绕声|Steam 集换式卡牌|可选颜色|自定义音量控制|立体声,4.07,PC|Xbox Series S/X,,,"The definitive ninja hack & slash franchise returns with NINJA GAIDEN 4! Embark on a cutting-edge adventure where legacy meets innovation in this high-octane blend of style and no-holds-barred combat.

Return of the Legend: Experience a return to the intense, high-speed combat that established NINJA GAIDEN as a premier action game series. Prepare for a legacy reborn with captivating style for a new generation of players.

Epic Hack and Slash Combat, Evolved: NINJA GAIDEN 4 fuses Team NINJA’s tempered combat philosophy with the stylish, dynamic action gameplay of PlatinumGames. Engage in visually stunning combat that rewards precision and strategy. Use Bloodbind Ninjutsu to transform your weapons and unleash devastation upon your enemies, alongside legacy techniques like the Izuna Drop and Flying Swallow. The legendary Ryu Hayabusa also returns with a revamped yet familiar set of tools to master.  With a customizable player experience, NINJA GAIDEN 4 will push action game veterans to their limits while allowing newcomers to enjoy a heart-pounding adventure full of twists and turns.

An Ancient Enemy Returns: An endless rain of miasma hangs over a near-future Tokyo in the wake of an ancient enemy’s resurrection. The fate of the city lies in the hands of young ninja prodigy, Yakumo. Fighting his way through cybernetic ninja soldiers and otherworldly creatures, Yakumo must reconcile a destiny he shares with the legendary Ryu Hayabusa himself and free Tokyo from the ancient curse that brought the city to its knees.",81.4,ninja gaiden 4
999746,pathologic-3-quarantine,Pathologic 3: Quarantine,2025-03-17,Indie|Adventure|RPG|Simulation,Singleplayer|Для одного игрока|Приключение|Steam Achievements|Инди|Atmospheric|Глубокий сюжет|RPG|Ролевая игра|Story Rich|Открытый мир|Open World|От первого лица|First-Person|Horror|Симулятор|Сложная|Difficult|Выживание|Survival|Решения с последствиями|Хоррор на выживание|Survival Horror|Choices Matter|Dystopian|Антиутопия|Атмосферная|Detective|Сюрреалистичная|Детектив|Surreal|Лавкрафт|Immersive Sim|Lovecraftian|Иммерсивный симулятор,4.07,PC,,,"Learn how the story of Pathologic 3 began with the free Quarantine prologue.
Pathologic 3: Quarantine is a narrative-driven adventure about a young scientist in search of immortality and a mysterious plague outbreak in a small town. Find out what drove a celebrated academic to leave his acclaimed lab. Examine patients, uncover strange secrets, and make first steps towards defeating Death.
Bachelor Daniil Dankovsky is a celebrated young doctor from the Capital. The Powers That Be do not appreciate his search for immortality. The rumor of an immortal man who lives in a faraway steppe town may be exactly the breakthrough he needs… if he can get to him.
Bachelor’s story is told through his subjective lens and through the lens of his persecutors. Did he really do — or fail to do — all the things he is accused of? Can he fix his own story by going back in time and making different choices? In Quarantine, watch how this non-chronological storytelling begins.
Fight the Sand Plague by examining patients and diagnosing them, but also investigating their life situations to find out the unpleasant truths they may hide. To save more lives, issue decrees based on your research. Face the horrifying personification of the Plague in the burning flesh.
Dankovsky is a sharp mind in search of the truth, willing to do anything to find it. Anything you see can tell a story and become a piece of your mental map of the world. Look at everything around you, connect the dots, and read the world!",81.4,pathologic 3: quarantine
996440,lonely-mountains-snow-riders,Lonely Mountains: Snow Riders,2025-01-21,Racing|Indie|Sports,Singleplayer|Для одного игрока|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Для нескольких игроков|Co-op|Online Co-Op|Exploration|Контроллер|Controller|Аркада|PvP|Для всей семьи|Игрок против игрока|Кастомизация персонажа|Character Customization|Family Friendly|3D|Физика|Physics|Гонки|Расслабляющая|Online PvP|Relaxing|Олдскул|Стилизация|Stylized|Исследования|PvE|Family Sharing|Сетевой кооператив|nature|Old School|Игрок против ИИ|Природа|snow|Снег|skiing|Спорт|Лыжи|Steam Timeline,4.0,PC,,,"Take a deep breath, count to three, and… go! Lonely Mountains: Snow Riders is a game that balances serious challenge with a relaxing atmosphere. Slice through deep snow, skitter over ice lakes, and leap into the air in spectacular jumps, bringing your friends along for the ride. Snow Riders also adds a brand new feature to the Lonely Mountains world – online multiplayer! Work your way down the mountain as a team in co-op, carefully sharing your limited checkpoints, or compete in a breakneck race to the base in versus mode. Available for 2-8 players, with multiplatform crossplay.Perform daredevil tricks or try to best your time for a spot on the leaderboard. Or you can take the road less travelled, discovering shortcuts as you explore the slope. Unlock new equipment, outfits and tricks as you play!Whether you’re looking for a challenge or a chilled out vacation with friends, Lonely Mountains: Snow Riders is the perfect winter getaway.",80.0,lonely mountains: snow riders
994282,wanderstop,Wanderstop,2025-03-11,Indie|Adventure|Simulation,Singleplayer|Для одного игрока|Приключение|Steam Achievements|Инди|Full controller support|Steam Cloud|Глубокий сюжет|Story Rich|От третьего лица|Third Person|Horror|Симулятор|Фэнтези|Fantasy|Female Protagonist|Цветастая|3D|Colorful|Crafting|Крафтинг|Менеджмент|Management|Music|Музыка|Повествование|Family Sharing|Протагонистка|LGBTQ+|Narrative|Life Sim|ЛГБТК+|Симулятор жизни|Farming Sim|Симулятор фермы|Cozy|cooking|Уютная|Кулинария,3.86,PC,,,"Wanderstop is a narrative-centric cozy game about change and tea. Playing as a fallen fighter named Alta, you’ll manage a tea shop within a magical forest and tend to the customers who pass through. But Alta does not want to be here. And if she gets her way, the tea shop will be nothing but a brief and painful memory.
Wanderstop is a tea shop management ritual. Grow and harvest the ingredients needed for tea, and then mix them together in an unusual tea-making contraption. Along the way, speak with the many travelers who pass through the shop, learn their stories and make tea that’s just right for them.
In your downtime, you might tidy up around the clearing, decorate the shop in your style, or just sit on a bench with a cup of tea and listen to your own thoughts. Maybe doing nothing at all is okay. The shop demands patience, it rejects those who have come only in the pursuit of growth unchecked.
And that’s why Alta can’t be here. It’s why she’ll never make it. This isn’t who she is. No, she’s a fighter! Why would anyone insist on turning the world’s greatest championship warrior into a docile shopkeeper?! With everything she’s capable of?? No no no, she won’t, she won’t do it... she can’t…
Wanderstop is a game from the team at Ivy Road, including Davey Wreden (creator of The Stanley Parable and The Beginner’s Guide), Karla Zimonja (co-creator of Gone Home and Tacoma) and Daniel “C418” Rosenfeld (the music of Minecraft).",77.2,wanderstop
941534,mortal-sin,Mortal Sin,2025-08-28,Indie|Action|RPG,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Инди|Full controller support|RPG|Ролевая игра|От первого лица|First-Person|Horror|Мясо|Gore|Насилие|Violent|Ранний доступ|Early Access|Слэшер|Hack and Slash|Тёмное фэнтези|Dark Fantasy|Рогалик|Roguelike|Упрощённый рогалик|Roguelite|Dungeon Crawler|Процедурная генерация|Loot|Procedural Generation|Лут|Action Roguelike|Экшен-рогалик|Подземелья,3.83,PC,,,"Deep And Rewarding Melee Combat
Fluid melee combat is at the heart of this roguelike. Each hit of your weapon, fists and magic will cause devastating wounds to your opponents as limbs fly and blood splatters against the walls. Attacks can be instantly linked into each other for seamless, free-flowing gameplay.
Endless Replayability
Procedurally generated levels levels and loot ensure no run is ever the same. Unlock special classes that provide unique playstyles, such as the spell slinging Mage, dexterous Monk, or giant sword wielding Berserker!
Embrace your immortality, keep on fighting and you may yet find absolution!",76.6,mortal sin
602355,broken-arrow,Broken Arrow,2025-06-19,Strategy,Singleplayer|Для одного игрока|Steam Achievements|Multiplayer|Steam Cloud|Для нескольких игроков|Co-op|Стратегия|Online Co-Op|Сложная|Difficult|Тактика|Tactical|Steam Workshop|PvP|Includes level editor|Игрок против игрока|War|Война|Реализм|3D|Realistic|combat|Стратегия в реальном времени|Building|Военные действия|RTS|Military|Online PvP|Steam Trading Cards|battle|Управление ресурсами|Resource Management|Family Sharing|Тактика в реальном времени|Tanks|Real Time Tactics|Танки|weapons|Modern|Современность|Военные конфликты|Wargame|fire|deckbuilding|Искусственный интеллект|enemy|Artificial Intelligence|Построение колоды|sea|tank|army|laser|Custom Volume Controls|tactics|Экшен-RTS|Action RTS|Playable without Timed Input|Naval Combat|Adjustable Difficulty|Subtitle Options|Adjustable Text Size|Морской бой|Mouse Only Option|aircraft|slots,3.75,PC,,,"Broken Arrow is a large-scale real-time modern warfare tactics game. The base game features both the American and Russian factions, more than 100 units and multiple deck specialisations per nation.
Broken Arrow brings the genre to a whole new level by combining the complexity of a joint-forces wargame with the typical real-time tactics action-packed gameplay.
UNIQUE ARMY BUILDING
Build your army deck by choosing from over 200 different units. Part of the battle is won by planning well: create the right combination of unit types and weapons to defeat your enemy, and don’t forget to consider the terrain when you choose.
Broken Arrow features a wide range of units, that are split into seven categories based on their characteristics: your army deck includes recon units, infantry, fighting vehicles, support units, logistical units, helicopters and airstrikes slots.
RECON UNITS: includes infantry, vehicles and drones specialized in the task of spotting and marking the enemy position.
INFANTRY: includes line infantry, shock troops, special forces, anti-tank teams, anti-aircraft teams.
FIGHTING VEHICLES: includes tanks, ATGM carriers and fire support vehicles.
SUPPORT: includes artillery and anti-aircraft vehicles that provide long range support on the battlefield.
LOGISTICS:, includes all the units designed to improve combat efficiency by providing ammunition, repairs, medical supplies and much more.
HELICOPTERS: includes multipurpose cavalry units best used far from the heatpoints.
AIRSTRIKES: includes many different weapons, swarms of tactical missiles and airdrops of troops, vehicles and supplies.
CUSTOM UNITS
Modern vehicles and aircraft are generally compatible with different weapons and armor packages; Broken Arrow features a detailed customisation system that allows you to modify the specific components of your units, either individually or as a loadout.
Customize your aircraft by choosing weapons, fuel tanks, designation pods, countermeasure pods and decoys.
Add armor or defensive systems to your vehicles and upgrade their weaponry and sensors.
Special forces have access to a wide variety of equipment for you to choose: add suppressors, thermal optics, reconnaissance drones, explosive charges and much more.
ACTION-PACKED COMBAT
Choose the right combination of units from your deck and deploy them to the battlefield, via land, the sea or from the air. Use paratroopers and helicopters to rapidly seize key locations, reinforce them with heavy tanks and break enemy counter attacks with artillery and tactical missiles.
Infiltrate special forces behind enemy lines to disrupt enemy logistics and provide laser designation for your planes. Use the terrain to your advantage to ambush, out flank and outsmart your enemy.",75.0,broken arrow
