rawg_id,rawg_slug,name,release_date,genres,tags,ratings,platforms,esrb,metacritic,description,rating_score,name_key
998492,system-shock-2-25th-anniversary-remaster,System Shock 2: 25th Anniversary Remaster,2025-06-25,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|RPG|Co-op|Ролевая игра|Story Rich|Шутер|От первого лица|First-Person|Научная фантастика|Sci-fi|Horror|FPS|Шутер от первого лица|Online Co-Op|Action-Adventure|Action RPG|Ролевой экшен|Controller|Мрачная|Dark|Cross-Platform Multiplayer|Приключенческий экшен|Captions available|3D|Киберпанк|Cyberpunk|Story|Metroidvania|Метроидвания|Атмосферная|Robots|achievements|Destruction|Family Sharing|Immersive Sim|Сетевой кооператив|Mod|Иммерсивный симулятор|ship|LAN Co-op|characters|rogue,4.62,PC,Mature,,"Accolades
About the GameSystem Shock® 2: 25th Anniversary Remaster by Nightdive Studios brings to you the modernized remaster of the FPS/RPG classic, featuring Cross-Play Co-Op multiplayer, Mod Support and more.It’s the year 2114 and as you awake from cryo sleep on the FTL ship Von Braun, you are unable to remember who or where you are… and something has gone terribly wrong. Hybrid mutants and deadly robots roam the halls while the cries from the remaining crew reverberate through the cold hull of the ship. SHODAN, a rogue AI bent on the destruction of mankind has taken over and it's up to you to stop her.Delve through the corridors of the derelict ship Von Braun and immerse yourself in the story rich atmosphere and environments. Explore deck by deck and unravel the horrifying fate of the Von Braun and her crew.Cross-Play Co-Op multiplayer.Choose from 3 branches of the Military; O.S.A, Marines or Navy and experiment with different play styles.Additional Mod SupportUp to 144FPS performance with ultra-widescreen support.50 Achievements to unlock.Enhanced Characters, Weapon Models and Animations.Optimized Controller support.Quality of Life Improvements.",92.4,system shock 2: 25th anniversary remaster
974379,dragon-ball-sparking-zero,DRAGON BALL: Sparking! ZERO,2025-10-10,Action|Fighting,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Для нескольких игроков|Co-op|Открытый мир|Open World|cooperative|От третьего лица|Third Person|Split Screen|Локальный мультиплеер|Action-Adventure|Local Multiplayer|PvP|Аниме|Anime|Игрок против игрока|Приключенческий экшен|3D|Физика|Physics|combat|Соревновательная|Competitive|Online PvP|Файтинг|Псевдотрёхмерность|PvE|Бой|2.5D|Family Sharing|Remote Play Together|Зрелищные сражения|Spectacle fighter|Shared/Split Screen PvP|Боевые искусства|Martial Arts|Игрок против ИИ|HDR available|3D Fighter|3D-файтинг,4.6,PC|PlayStation 5|Xbox Series S/X|Nintendo Switch,Teen,,"DRAGON BALL: Sparking! ZERO takes the legendary gameplay of the Budokai Tenkaichi series and raises it to whole new levels. DRAGON BALL: Sparking! ZERO has an incredible number of playable characters, each with signature abilities, transformations and techniques. Unleash the fighting spirit within you and take the fight to arenas that crumble and react to your power as the battle rages on.",92.0,dragon ball: sparking! zero
994603,split-fiction,Split Fiction,2025-03-06,Adventure|Action,Экшен|Приключение|Multiplayer|Steam Cloud|Для нескольких игроков|Глубокий сюжет|Co-op|Story Rich|cooperative|От третьего лица|Third Person|Научная фантастика|Sci-fi|Online Co-Op|Фэнтези|Fantasy|Female Protagonist|Split Screen|Локальный мультиплеер|Local Co-Op|Action-Adventure|Local Multiplayer|Приключенческий экшен|Сексуальный контент|Sexual Content|3D-платформер|3D Platformer|Разделение экрана|Протагонистка|Сетевой кооператив|Remote Play Together|LGBTQ+|Political|Политическая|Совместная кампания|Co-op Campaign|Политика|Politics|ЛГБТК+|Локальный кооператив|Succès Steam|Compat. contrôleurs complète|Cartes à échanger Steam|Partage familial|HDR disponible|multijoueur|Coopération en ligne|Coopération|Coop locale et écran partagé|Écran partagé|Multijoueur multiplateforme|Sous-titres disponibles,4.44,PC|PlayStation 5|Xbox Series S/X,,,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op action adventure from the studio behind 2021 Game of the Year Winner, It Takes Two. Mio and Zoe are contrasting writers – one writes sci-fi and the other writes fantasy – who become trapped in their own stories after being hooked up to a machine designed to steal their creative ideas. They’ll have to rely on each other to break free with their memories in-tact, working together to master a variety of abilities and overcome diverse challenges while jumping between sci-fi and fantasy worlds in this unexpected tale of friendship.

Split Fiction is a unique action-adventure experience that keeps you on the edge of your couch with unexpected moments. One minute you’re taming adorable dragons and the next you’re fighting as cyber ninjas, escaping terrifying trolls, or dodging hover cars thrown by a robotic parking attendant. It’s weird, it’s wild, and it’s designed to be shared.

Grab your co-op partner and get ready to overcome any obstacle thrown your way.",88.80000000000001,split fiction
973391,monster-hunter-wilds,Monster Hunter Wilds,2025-02-27,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Отличный саундтрек|Great Soundtrack|RPG|Co-op|Ролевая игра|Открытый мир|Open World|cooperative|От третьего лица|Third Person|Online Co-Op|Фэнтези|Fantasy|Action RPG|Ролевой экшен|Cross-Platform Multiplayer|Милая|Кастомизация персонажа|Character Customization|Cute|Сексуальный контент|Sexual Content|Steam Trading Cards|Атмосферная|Симулятор свиданий|Dragons|Dating Sim|Family Sharing|Драконы|Сетевой кооператив|Подводный мир|Hunting|Underwater|Охота|HDR available,4.18,PC|PlayStation 5|Xbox Series S/X,Rating Pending,,"Monster Hunter Wilds. The next generation in the genre defining series. 
 
Launching in 2025 on PS5, Xbox Series X|S, and PC/Steam.",83.6,monster hunter wilds
836440,tempest-rising,Tempest Rising,2025-04-17,Strategy|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Steam Cloud|Для нескольких игроков|Отличный саундтрек|Great Soundtrack|Стратегия|PvP|Игрок против игрока|War|Война|3D|Cinematic|Futuristic|Изометрия|Isometric|Стратегия в реальном времени|Военные действия|RTS|Будущее|Military|Вид сверху|Online PvP|Кинематографичная|Top-Down|Steam Trading Cards|Строительство базы|Base Building|Family Sharing|В реальном времени|Real-Time|Modern|Современность|FMV|Военные конфликты|Wargame|Action RTS|Экшен-RTS|FMV-игра,4.18,PC,,,"Classic RTS action meets modern production and performance in Tempest Rising. Inspired by RTS greats of the 90s and 2000s, Tempest Rising is a classic, base-building real time strategy game set in a modern day alternative history war scenario. It features 3 unique factions, each with its own approach to combat and economy and offering a variety of strategies for players of all stripes, maps with neutral structures to contest and neutral populations to contend with, deep and rewarding gameplay that keeps a focus on strategy while rewarding skill, and built-in customization options that allow players to approach the game their way in both single player and multiplayer game modes.

Take on the role of Commander in the highly mobile and advanced peacekeeping corps of the Global Defense Forces or the hard-hitting and desperate Tempest Dynasty in 2 15-mission campaigns that allow the player to customize their army for each mission, as both armies seek to understand and control the mysterious but beneficial Tempest vines that grow unchecked across the war-torn planet Earth. Other dangers wait in the shadows, as the origin of the Tempest is revealed...
Features
Classic RTS base building with fast and fluid hard-hitting combat.
3 asymmetrical playable factions, each featuring distinct economy and play styles.
Each faction offers a unique roster of units.
2 epic single player campaigns with between-mission cutscenes.
Skirmish, custom games, and ranked multiplayer matchmaking with Elo rating.",83.6,tempest rising
1012586,rv-there-yet,RV There Yet?,2025-10-21,Indie|Adventure|Action,Экшен|Приключение|Инди|Multiplayer|Steam Cloud|Atmospheric|Для нескольких игроков|Co-op|cooperative|Казуальная игра|От первого лица|First-Person|Horror|Смешная|Online Co-Op|Funny|Exploration|Кастомизация персонажа|Character Customization|3D|Физика|Physics|Атмосферная|Стилизация|Driving|Вождение|Stylized|Исследования|Похожа на Dark Souls|Family Sharing|Souls-like|Сетевой кооператив|Offroad|Бездорожье,4.17,PC,,,"DRIVE HOMEYou and your buddies are on your way home from a relaxing vacation but are forced to take an alternate route. Get your RV through the back country and find the exit to Route 65.SURVIVE MABUTTS VALLEY Not everyone who enters Mabutts Valley makes it out alive. So be sure to keep a steady flow of burgers, antidotes, and the classic: EpiPens.WINCH IT GOODMaster the physics based winch and earn the right to be the main remote commander. With a winch front and rear, your RV is especially equipped to get over, under or through most road bumps.HELP YOURSELF, AND EACH OTHERHelp yourself to cold brewskis and filtered low tar cigarettes, but don’t forget that the driver will have a hard time completing this journey alone. A SCRAPPY BUNCHUse everything you find to maintain the integrity of your RV and friendships.Features:Drive one RV together with up to 4 playersWinchOne mapProximity ChatOnline co-opHatsGrill frozen meat pattiesSmoke Cigarettes",83.4,rv there yet?
1007483,battlefield-6-2,Battlefield 6,2025-10-10,Shooter|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|Co-op|Story Rich|cooperative|Шутер|FPS|Шутер от первого лица|Sandbox|Песочница|Насилие|Violent|Тактика|Tactical|PvP|Cross-Platform Multiplayer|Игрок против игрока|War|In-App Purchases|Война|Реализм|Realistic|combat|Военные действия|Military|Online PvP|Атмосферная|Бой|Destruction|Разрушения|Epic|Эпичная|Королевская битва|Modern|Современность|Battle Royale|HDR available|Stereo Sound|Custom Volume Controls|Surround Sound|Playable without Timed Input|Camera Comfort|Adjustable Difficulty|Subtitle Options|Color Alternatives|Keyboard Only Option|Chat Speech-to-text|Chat Text-to-speech,4.14,PC|PlayStation 5|Xbox Series S/X,,,"Lock & load for the ultimate all-out warfare experience. Fight in high-intensity infantry combat. Rip through the skies in aerial dogfights. Demolish your environment for a strategic advantage. In a war of tanks, fighter jets, and massive combat arsenals, your squad is the deadliest weapon. This is Battlefield 6.",82.8,battlefield 6
1001007,blue-prince,Blue Prince,2025-04-10,Indie|Strategy|Adventure|Puzzle,Singleplayer|Для одного игрока|Приключение|Steam Achievements|Инди|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|Стратегия|От первого лица|First-Person|Симулятор|Головоломка|Exploration|Реиграбельность|Тайна|Replay Value|Mystery|3D|Симулятор ходьбы|Walking Simulator|Упрощённый рогалик|Атмосферная|Roguelite|Стилизация|Stylized|Исследования|Family Sharing|Редактор уровней|Level Editor|Investigation|Nonlinear|Нелинейная|Расследования|Escape Room|Квест-комната,4.13,PC|PlayStation 5|Xbox Series S/X,,,"Welcome to Mt. Holly, the mysterious manor with shifting rooms. In Blue Prince, you embark on a genre-defying experience, filled with a unique mix of mystery, strategy, and puzzles that weave together to create an unpredictable journey. Will your explorative steps lead you to the rumored Room 46?

DRAFTING YOUR JOURNEY
Upon reaching a closed door in Mt. Holly, you decide what room appears behind it and each decision shapes your path as you navigate through the manor. Every door can reveal new and exciting chambers that contain their own unique challenges and secrets. But be careful how you draft, for each day the manor’s floor plan resets and the rooms you saw today may not be the same rooms you see tomorrow.

EVERY STEP COUNTS
Your progress each day is shaped by the rooms you select to draft and the tools you find within them. Items in the game can be used in a number of creative ways to fuel your exploration deeper into the house, allowing you to adopt unique strategies to combat the challenges that each day brings. Yet, tread wisely – the house resets each dawn, erasing all but the permanent upgrades to your estate blueprint. That is, if you were clever enough to find one!

A HISTORY IN THE MAKING
As the heir of Mt. Holly, you have been tasked to explore its shifting halls in search of Room 46. Yet as your journey takes you further into the mansion’s depths, you start to discover that there is more lurking under the surface than a missing room. Investigate a past woven with the threads of blackmail, political intrigue, and the mysterious disappearance of a local children’s book author. The deeper you venture, the more you realize that the past is closer than it appears.",82.6,blue prince
1008671,peak-3,PEAK.,2025-06-17,Adventure,,4.08,PC,,,"PEAK is a co-op climbing game made together with Aggro Crab where the slightest mistake can spell your doom. Either solo or as a group of lost nature scouts, your only hope of rescue from a mysterious island is to scale the mountain at its center. Do you have what it takes to reach the PEAK?",81.6,peak.
990189,infinity-nikki,Infinity Nikki,2024-12-05,Casual|Platformer|RPG,Экшен|Приключение|Глубокий сюжет|RPG|Co-op|Ролевая игра|Story Rich|Открытый мир|Open World|cooperative|Симулятор|Фэнтези|Fantasy|Exploration|Female Protagonist|Action RPG|Ролевой экшен|Кастомизация персонажа|Character Customization|Post-apocalyptic|Реализм|Тёмное фэнтези|3D|Dark Fantasy|Realistic|JRPG|Японская ролевая игра|Исследования|Пошаговые сражения|Turn-Based Combat|Narration|Lore-Rich|Проработанная вселенная|Протагонистка|Повествовательная|Постапокалипсис|Conquistas Steam|Um jogador|multijogador|cooperativo|Compras em aplicativo|Multijogador multiplataforma|Compat. parcial com controle,4.08,PC|iOS|Android|macOS,,,"Infinity Nikki, the fifth installment in the beloved Nikki series by Infold Games, is a cozy open-world game. Utilizing the UE5 engine, this multi-platform game features platforming, puzzle-solving, dress-up, and other gameplay elements for a unique and rich experience.",81.6,infinity nikki
