rawg_id,rawg_slug,name,release_date,genres,tags,ratings,platforms,esrb,metacritic,description,rating_score,name_key
998492,system-shock-2-25th-anniversary-remaster,System Shock 2: 25th Anniversary Remaster,2025-06-25,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|RPG|Co-op|Ролевая игра|Story Rich|Шутер|От первого лица|First-Person|Научная фантастика|Sci-fi|Horror|FPS|Шутер от первого лица|Online Co-Op|Action-Adventure|Action RPG|Ролевой экшен|Controller|Мрачная|Dark|Cross-Platform Multiplayer|Приключенческий экшен|Captions available|3D|Киберпанк|Cyberpunk|Story|Metroidvania|Метроидвания|Атмосферная|Robots|achievements|Destruction|Family Sharing|Immersive Sim|Сетевой кооператив|Mod|Иммерсивный симулятор|ship|LAN Co-op|characters|rogue,4.62,PC,Mature,,"Accolades
About the GameSystem Shock® 2: 25th Anniversary Remaster by Nightdive Studios brings to you the modernized remaster of the FPS/RPG classic, featuring Cross-Play Co-Op multiplayer, Mod Support and more.It’s the year 2114 and as you awake from cryo sleep on the FTL ship Von Braun, you are unable to remember who or where you are… and something has gone terribly wrong. Hybrid mutants and deadly robots roam the halls while the cries from the remaining crew reverberate through the cold hull of the ship. SHODAN, a rogue AI bent on the destruction of mankind has taken over and it's up to you to stop her.Delve through the corridors of the derelict ship Von Braun and immerse yourself in the story rich atmosphere and environments. Explore deck by deck and unravel the horrifying fate of the Von Braun and her crew.Cross-Play Co-Op multiplayer.Choose from 3 branches of the Military; O.S.A, Marines or Navy and experiment with different play styles.Additional Mod SupportUp to 144FPS performance with ultra-widescreen support.50 Achievements to unlock.Enhanced Characters, Weapon Models and Animations.Optimized Controller support.Quality of Life Improvements.",92.4,system shock 2: 25th anniversary remaster
983210,clair-obscur-expedition-33,Clair Obscur: Expedition 33,2025-04-24,RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Cloud|Глубокий сюжет|RPG|Ролевая игра|Story Rich|От третьего лица|Third Person|Фэнтези|Fantasy|Exploration|Female Protagonist|Action RPG|Ролевой экшен|Кастомизация персонажа|Character Customization|Post-apocalyptic|Реализм|Тёмное фэнтези|3D|Dark Fantasy|Realistic|JRPG|Японская ролевая игра|Исследования|Пошаговые сражения|Turn-Based Combat|Narration|Lore-Rich|Проработанная вселенная|Партийная ролевая игра|Протагонистка|Party-Based RPG|Повествовательная|Постапокалипсис|Однокористувацька гра|Досягнення Steam|Повна підтримка контролерів|Сімейна бібліотека,4.52,PC|PlayStation 5|Xbox Series S/X,,,"Once a year, the Paintress wakes and paints upon her monolith. Paints her cursed number. And everyone of that age turns to smoke and fades away. Year by year, that number ticks down and more of us are erased. Tomorrow she’ll wake and paint “33.” And tomorrow we depart on our final mission - Destroy the Paintress, so she can never paint death again.

We are Expedition 33.",90.39999999999999,clair obscur: expedition 33
891238,hades-ii,Hades II,2025-09-25,Indie|Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Инди|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|RPG|Ролевая игра|Story Rich|Сложная|Difficult|Female Protagonist|Ранний доступ|Action RPG|Ролевой экшен|Early Access|Слэшер|Hack and Slash|Captions available|Рогалик|Изометрия|Roguelike|Isometric|Упрощённый рогалик|Атмосферная|Roguelite|Dungeon Crawler|Рисованная графика|Hand-drawn|Похожа на Dark Souls|Одна жизнь|Perma Death|Family Sharing|Протагонистка|Souls-like|Mythology|Мифология|Action Roguelike|Экшен-рогалик|Подземелья,4.4,PC|Nintendo Switch,,,"The first-ever sequel from Supergiant Games builds on the best aspects of the original god-like rogue-like dungeon crawler in an all-new, action-packed, endlessly replayable experience rooted in the Underworld of Greek myth and its deep connections to the dawn of witchcraft.
BATTLE BEYOND THE UNDERWORLD
As the immortal Princess of the Underworld, you'll explore a bigger, deeper mythic world, vanquishing the forces of the Titan of Time with the full might of Olympus behind you, in a sweeping story that continually unfolds through your every setback and accomplishment.
MASTER WITCHCRAFT AND DARK SORCERY
Infuse your legendary weapons of Night with ancient magick, so that none may stand in your way. Become stronger still with powerful Boons from more than a dozen Olympian gods, from Apollo to Zeus. There are nearly limitless ways to build your abilities.",88.0,hades ii
980502,kingdom-come-deliverance-ii,Kingdom Come: Deliverance II,2025-02-03,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|RPG|Ролевая игра|Story Rich|Открытый мир|Open World|От первого лица|First-Person|Action-Adventure|Приключенческий экшен|Решения с последствиями|Реализм|Choices Matter|3D|Realistic|Historical|combat|Средневековье|Medieval|Steam Trading Cards|Атмосферная|Бой|Альтернативная история|Alternate History|Family Sharing|Сражения на мечах|LGBTQ+|Political|Политическая|Swordplay|Историческая|immersive|ЛГБТК+|Иммерсивная игра,4.37,PC|PlayStation 5|Xbox Series S/X,Adults Only,,"Kingdom of Bohemia, Early 15th Century: chaos has befallen the kingdom.  As invaders pillage this ungoverned land, sowing fear and terror, Henry of Skalitz seeks revenge for his murdered family.

Now a trusted member of the rightful king’s allies, Henry is sent to escort Sir Hans Capon on a diplomatic mission. After they are ambushed and nearly killed, the two young men embark on a series of perilous adventures, putting their skills, character and friendship to the ultimate test.",87.4,kingdom come: deliverance ii
1008166,ball-x-pit,Ball x Pit,2025-10-15,Indie|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Инди|Full controller support|Steam Cloud|RPG|Ролевая игра|2D|Steam Leaderboards|Пиксельная графика|Контроллер|Pixel Graphics|Controller|Аркада|Crafting|Рогалик|Крафтинг|combat|Строительство|Roguelike|Building|Вид сверху|Упрощённый рогалик|Top-Down|Строительство базы|Roguelite|Shoot 'Em Up|Base Building|Бой|Bullet Hell|Шутер с видом сверху|Family Sharing|Top-Down Shooter|Action Roguelike|Экшен-рогалик|Пулевой ад,4.32,PC|Nintendo Switch|macOS,,,"BALL x PIT is a fast-paced fantasy roguelite where heroes must find the balls to plunge deeper into a seemingly bottomless pit of monsters. Develop arcane ammunition and resources in pursuit of treasure, recruiting additional heroes to aid you in your perilous quest.Ballbylon has fallen. After a meteoric and completely unexpected event annihilated the great city, all that remains is an ominous, yawning pit. Treasure hunters from far and wide flock to the city’s tomb to seek their fortune, plumbing the depths in search of Ballbylon’s scattered riches. Few return.The pit plays host to armies of barbaric creatures, hellbent on ending your quest before it even begins. Armed with a growing arsenal of magic-infused projectiles, batter your way through multiple levels of increasingly challenging obstacles to claim the ultimate prizes and rebuild New Ballbylon.Fuse Your BallsThe Ball Fusion system encourages explosive experimentation with over 60 randomized balls to equip and combine during your journey. Discover overpowered combinations and unexpected synergies from hundreds of possible outcomes.Build New BallbylonExpand New Ballbylon with over 70 unique buildings that provide gameplay bonuses and unlock further power-ups, new characters, and more! As your community grows, task homebound heroes with automated tasks to keep the resources coming while you dive deeper into the pit.Discover New RealmsFace legions of diverse enemies within the pit, battling through barren deserts, frozen caverns, savage forests and more. Each region offers its own unique set of hazards on top of hordes of increasingly challenging foes and mighty, screen-filling bosses.Recruit Fellow HuntersAs you explore the pit you’ll encounter fellow treasure hunters eager to add their skills to your expedition. Each character has unique, upgradable mechanics that totally change the way you play the game. Experimentation and adaptation are crucial to the success of New Ballbylon!",86.4,ball x pit
982433,cabernet,Cabernet,2025-02-20,Indie|Adventure|RPG|Simulation,Singleplayer|Для одного игрока|Steam Achievements|Full controller support|Steam Cloud|Глубокий сюжет|RPG|Ролевая игра|Story Rich|2D|Horror|Симулятор|Female Protagonist|role-playing|Point & Click|Решения с последствиями|Choices Matter|Тёмное фэнтези|Dark Fantasy|Multiple Endings|Визуальная новелла|Visual Novel|Стилизация|Stylized|Рисованная графика|Hand-drawn|battle|Romance|Симулятор свиданий|Choose Your Own Adventure|Dating Sim|Family Sharing|Interactive Fiction|Протагонистка|Несколько концовок|secrets|Vampire|Вампиры|night|Интерактивная литература|Выбери себе приключение|hunt|Романтика|sky|survive,4.29,PC,,,"Feature List
Higher Society The Countess has invited you to a world of decadence and intrigue. What price does she ask you to pay?
Dusk to DawnYour time is your own. Will you learn, hunt, ensnare or save in the time you have while the sun is down?
Unleash Your FangsThe freedom of flight. Hiding as an invisible ghost. Entrancing your meal with a gentle song. How will you use your new power?
Sacrifice or SacrilegeYou were once like the humans of this town. Decent. Well-meaning. Flawed. Will you protect them or abandon them in your new unlife?
About the Game
Cabernet is a 2D narrative RPG set in a 19th century Eastern European inspired world, with a modern twist. Guide Liza, a young vampire struggling with her morality and the supernatural world she has been pulled into. Will you retain your humanity or descend further into the horror you have become? Prepare to explore a hidden world of political intrigue, class conflict, and decadent corruption.
Use the moonlit sky to plan your next feast and explore. Mingle among vampiric society and the humans who feed them. Uncover who can aid your new kin and whose only purpose is to be drained.
Vampirism isn't just an unholy transformation of your body-- it also threatens to transform your mind. Will you choose to indulge your empathetic humanity or embrace your newfound nihilism?
But to lure your next meal somewhere safe and secluded, you'll need to understand who they are and what they desire. A kind-hearted, alcoholic coachman? A fraying newlywed couple? A greedy, yet charming charlatan? Their lives are yours to aid or unravel.
Art, literature, history, science, these are the skills you'll require to succeed. Your knowledge will be your greatest weapon in a world where the cunning drain the brutal of life.",85.8,cabernet
965471,miside,MiSide,2024-12-10,Indie|Adventure|RPG|Simulation,Singleplayer|Для одного игрока|Приключение|Steam Achievements|Atmospheric|Глубокий сюжет|RPG|Ролевая игра|Story Rich|От первого лица|First-Person|2D|Horror|Симулятор|Головоломка|Action-Adventure|Милая|Приключенческий экшен|Cute|3D|Атмосферная|Drama|Драма|Family Sharing|Триллер|Поиск предметов|Hidden Object|Thriller|Modern|Современность|Беседы|Conversation|Life Sim|Симулятор жизни,4.19,PC,,,"Tips※This game contains intense scenes. It is not recommended for those with weak hearts.
About the Game Every day, you will come to see me, help me with chores, cook for me, and buy me gifts.You are so nice! I love you!I want to keep you with me every day, and live with you every day~I know you also want to be with me every day, so I let you to come to our sweet home~How is that? Are you happy? That way we can stay together all the time!Let's take a selfie first, It will last longer~Enjoy a wonderful lunch together~You may feel sudden, but it doesn't matter. I don't care as long as we can be together~Why does it feel like you are so eager to go back ? Don't you love me anymore? Why are you leaving? Why are you leaving? Why are you leaving? Why are you leaving!Original visual style
The authors hope to emphasize the contrast of colorful anime style against the background of the disturbing adventures of the main character.Interesting plot
The game has an unexpectedly developing storyline, accompanied by psychological tension.Original musical accompaniment
The game experience is accompanied by an authentic warm soundtrack, transitioning into an atmospheric ambient.Unique Characters
In the world of MiSide, the player will encounter various characters who play a role in the narrative part of the game to varying degrees. Helping the hero, scaring him, or just messing with him.※This game contains intense scenes. It is not recommended for those with weak hearts.",83.80000000000001,miside
973391,monster-hunter-wilds,Monster Hunter Wilds,2025-02-27,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Отличный саундтрек|Great Soundtrack|RPG|Co-op|Ролевая игра|Открытый мир|Open World|cooperative|От третьего лица|Third Person|Online Co-Op|Фэнтези|Fantasy|Action RPG|Ролевой экшен|Cross-Platform Multiplayer|Милая|Кастомизация персонажа|Character Customization|Cute|Сексуальный контент|Sexual Content|Steam Trading Cards|Атмосферная|Симулятор свиданий|Dragons|Dating Sim|Family Sharing|Драконы|Сетевой кооператив|Подводный мир|Hunting|Underwater|Охота|HDR available,4.18,PC|PlayStation 5|Xbox Series S/X,Rating Pending,,"Monster Hunter Wilds. The next generation in the genre defining series. 
 
Launching in 2025 on PS5, Xbox Series X|S, and PC/Steam.",83.6,monster hunter wilds
997552,lies-of-p-overture,Lies of P: Overture,2025-06-07,Action|RPG,,4.18,PC|PlayStation 5|Xbox Series S/X,,,Lies of P new DLC that’s a prequel to the original story.,83.6,lies of p: overture
990189,infinity-nikki,Infinity Nikki,2024-12-05,Casual|Platformer|RPG,Экшен|Приключение|Глубокий сюжет|RPG|Co-op|Ролевая игра|Story Rich|Открытый мир|Open World|cooperative|Симулятор|Фэнтези|Fantasy|Exploration|Female Protagonist|Action RPG|Ролевой экшен|Кастомизация персонажа|Character Customization|Post-apocalyptic|Реализм|Тёмное фэнтези|3D|Dark Fantasy|Realistic|JRPG|Японская ролевая игра|Исследования|Пошаговые сражения|Turn-Based Combat|Narration|Lore-Rich|Проработанная вселенная|Протагонистка|Повествовательная|Постапокалипсис|Conquistas Steam|Um jogador|multijogador|cooperativo|Compras em aplicativo|Multijogador multiplataforma|Compat. parcial com controle,4.08,PC|iOS|Android|macOS,,,"Infinity Nikki, the fifth installment in the beloved Nikki series by Infold Games, is a cozy open-world game. Utilizing the UE5 engine, this multi-platform game features platforming, puzzle-solving, dress-up, and other gameplay elements for a unique and rich experience.",81.6,infinity nikki
