rawg_id,rawg_slug,name,release_date,genres,tags,ratings,platforms,esrb,metacritic,description,rating_score,name_key
998492,system-shock-2-25th-anniversary-remaster,System Shock 2: 25th Anniversary Remaster,2025-06-25,Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|RPG|Co-op|Ролевая игра|Story Rich|Шутер|От первого лица|First-Person|Научная фантастика|Sci-fi|Horror|FPS|Шутер от первого лица|Online Co-Op|Action-Adventure|Action RPG|Ролевой экшен|Controller|Мрачная|Dark|Cross-Platform Multiplayer|Приключенческий экшен|Captions available|3D|Киберпанк|Cyberpunk|Story|Metroidvania|Метроидвания|Атмосферная|Robots|achievements|Destruction|Family Sharing|Immersive Sim|Сетевой кооператив|Mod|Иммерсивный симулятор|ship|LAN Co-op|characters|rogue,4.62,PC,Mature,,"Accolades
About the GameSystem Shock® 2: 25th Anniversary Remaster by Nightdive Studios brings to you the modernized remaster of the FPS/RPG classic, featuring Cross-Play Co-Op multiplayer, Mod Support and more.It’s the year 2114 and as you awake from cryo sleep on the FTL ship Von Braun, you are unable to remember who or where you are… and something has gone terribly wrong. Hybrid mutants and deadly robots roam the halls while the cries from the remaining crew reverberate through the cold hull of the ship. SHODAN, a rogue AI bent on the destruction of mankind has taken over and it's up to you to stop her.Delve through the corridors of the derelict ship Von Braun and immerse yourself in the story rich atmosphere and environments. Explore deck by deck and unravel the horrifying fate of the Von Braun and her crew.Cross-Play Co-Op multiplayer.Choose from 3 branches of the Military; O.S.A, Marines or Navy and experiment with different play styles.Additional Mod SupportUp to 144FPS performance with ultra-widescreen support.50 Achievements to unlock.Enhanced Characters, Weapon Models and Animations.Optimized Controller support.Quality of Life Improvements.",92.4,system shock 2: 25th anniversary remaster
975393,indiana-jones-and-the-great-circle,Indiana Jones and the Great Circle,2024-12-09,Shooter|Adventure|Action,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Глубокий сюжет|Story Rich|Открытый мир|Open World|От первого лица|First-Person|Головоломка|Exploration|Платформер|Stealth|Стелс|Action-Adventure|Приключенческий экшен|Captions available|Реализм|3D|Realistic|Historical|3D-платформер|Исследования|Вторая мировая война|3D Platformer|World War II|Family Sharing|LGBTQ+|Political|Политическая|Investigation|Политика|Politics|Историческая|ЛГБТК+|Расследования|HDR available,4.32,PC|PlayStation 5|Xbox Series S/X,Rating Pending,,"Uncover one of history’s greatest mysteries in a first-person, single-player adventure. The year is 1937, sinister forces are scouring the globe for the secret to an ancient power connected to the Great Circle, and only one person can stop them - Indiana Jones™.

Live the adventure as Indy in a thrilling story full of exploration, immersive action, and intriguing puzzles. As the brilliant archaeologist – famed for his keen intellect, cunning resourcefulness, and trademark humor – you will travel the world in a race against enemy forces to discover the secrets to one of the greatest mysteries of all time.

Travel from the halls of Marshall College to the heart of the Vatican, the pyramids of Egypt, the sunken temples of Sukhothai, and beyond. When a break-in in the dead of night ends in a confrontation with a mysterious colossal man, you must set out to discover the world-shattering secret behind the theft of a seemingly unimportant artifact. Forging new alliances and facing familiar enemies, you’ll engage with intriguing characters, use guile and wits to solve ancient riddles, and survive intense set-pieces.",86.4,indiana jones and the great circle
983381,doom-the-dark-ages,Doom: The Dark Ages,2025-05-15,Action,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|Шутер|От первого лица|First-Person|Научная фантастика|Sci-fi|FPS|Шутер от первого лица|Gore|Тёмное фэнтези|Для взрослых|Dark Fantasy|Mature|Cinematic|Быстрая|Fast-Paced|Кинематографичная|Steam Trading Cards|Атмосферная|Blood|Кровь|Lore-Rich|Проработанная вселенная|Demons|Демоны|Dragons|Family Sharing|Драконы|Mechs|Мехи|HDR available|Сцены жестокости|boomer shooter|Бумерский шутер,4.32,PC|PlayStation 5|Xbox Series S/X,Mature,,YOU ARE THE SUPER WEAPON IN A MEDIEVAL WAR AGAINST HELL,86.4,doom: the dark ages
1008166,ball-x-pit,Ball x Pit,2025-10-15,Indie|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Инди|Full controller support|Steam Cloud|RPG|Ролевая игра|2D|Steam Leaderboards|Пиксельная графика|Контроллер|Pixel Graphics|Controller|Аркада|Crafting|Рогалик|Крафтинг|combat|Строительство|Roguelike|Building|Вид сверху|Упрощённый рогалик|Top-Down|Строительство базы|Roguelite|Shoot 'Em Up|Base Building|Бой|Bullet Hell|Шутер с видом сверху|Family Sharing|Top-Down Shooter|Action Roguelike|Экшен-рогалик|Пулевой ад,4.32,PC|Nintendo Switch|macOS,,,"BALL x PIT is a fast-paced fantasy roguelite where heroes must find the balls to plunge deeper into a seemingly bottomless pit of monsters. Develop arcane ammunition and resources in pursuit of treasure, recruiting additional heroes to aid you in your perilous quest.Ballbylon has fallen. After a meteoric and completely unexpected event annihilated the great city, all that remains is an ominous, yawning pit. Treasure hunters from far and wide flock to the city’s tomb to seek their fortune, plumbing the depths in search of Ballbylon’s scattered riches. Few return.The pit plays host to armies of barbaric creatures, hellbent on ending your quest before it even begins. Armed with a growing arsenal of magic-infused projectiles, batter your way through multiple levels of increasingly challenging obstacles to claim the ultimate prizes and rebuild New Ballbylon.Fuse Your BallsThe Ball Fusion system encourages explosive experimentation with over 60 randomized balls to equip and combine during your journey. Discover overpowered combinations and unexpected synergies from hundreds of possible outcomes.Build New BallbylonExpand New Ballbylon with over 70 unique buildings that provide gameplay bonuses and unlock further power-ups, new characters, and more! As your community grows, task homebound heroes with automated tasks to keep the resources coming while you dive deeper into the pit.Discover New RealmsFace legions of diverse enemies within the pit, battling through barren deserts, frozen caverns, savage forests and more. Each region offers its own unique set of hazards on top of hordes of increasingly challenging foes and mighty, screen-filling bosses.Recruit Fellow HuntersAs you explore the pit you’ll encounter fellow treasure hunters eager to add their skills to your expedition. Each character has unique, upgradable mechanics that totally change the way you play the game. Experimentation and adaptation are crucial to the success of New Ballbylon!",86.4,ball x pit
1007483,battlefield-6-2,Battlefield 6,2025-10-10,Shooter|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|Для нескольких игроков|Глубокий сюжет|Co-op|Story Rich|cooperative|Шутер|FPS|Шутер от первого лица|Sandbox|Песочница|Насилие|Violent|Тактика|Tactical|PvP|Cross-Platform Multiplayer|Игрок против игрока|War|In-App Purchases|Война|Реализм|Realistic|combat|Военные действия|Military|Online PvP|Атмосферная|Бой|Destruction|Разрушения|Epic|Эпичная|Королевская битва|Modern|Современность|Battle Royale|HDR available|Stereo Sound|Custom Volume Controls|Surround Sound|Playable without Timed Input|Camera Comfort|Adjustable Difficulty|Subtitle Options|Color Alternatives|Keyboard Only Option|Chat Speech-to-text|Chat Text-to-speech,4.14,PC|PlayStation 5|Xbox Series S/X,,,"Lock & load for the ultimate all-out warfare experience. Fight in high-intensity infantry combat. Rip through the skies in aerial dogfights. Demolish your environment for a strategic advantage. In a war of tanks, fighter jets, and massive combat arsenals, your squad is the deadliest weapon. This is Battlefield 6.",82.8,battlefield 6
1010539,megabonk,Megabonk,2025-09-18,Casual|Indie|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Инди|Full controller support|Steam Cloud|Казуальная игра|От третьего лица|Third Person|Steam Leaderboards|Выживание|Survival|Пиксельная графика|Ретро|Контроллер|Pixel Graphics|Controller|Шутер от третьего лица|Third-Person Shooter|stats|Аркада|Retro|Слэшер|Hack and Slash|3D|Рогалик|Roguelike|Упрощённый рогалик|Roguelite|Олдскул|Loot|Лут|Bullet Hell|Family Sharing|Набор очков|Score Attack|Action Roguelike|Экшен-рогалик|Old School|Stereo Sound|Surround Sound|Пулевой ад|Playable without Timed Input|Camera Comfort|Steam Timeline,4.05,PC|Linux,,,"Smash your way through endless waves of enemies and grow absurdly powerful! Grab loot, level up, unlock characters and upgrade to create unique and crazy builds as you fend off hordes of creatures!",81.0,megabonk
995586,beyond-citadel,Beyond Citadel,2025-01-02,Indie|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Steam Cloud|Шутер|От первого лица|First-Person|Научная фантастика|Sci-fi|Partial Controller Support|FPS|Шутер от первого лица|Female Protagonist|Пиксельная графика|Action-Adventure|Pixel Graphics|Мрачная|Dark|Аниме|Anime|Милая|Приключенческий экшен|Cute|Тёмное фэнтези|Dark Fantasy|Киберпанк|Cyberpunk|Олдскул|Псевдотрёхмерность|2.5D|Comic Book|По комиксу|Cartoon|Family Sharing|Протагонистка|Old School|Мультфильмы|Vehicular Combat|Гонки на выживание|boomer shooter|Бумерский шутер,4.0,PC,,,"The Citadel, the last stronghold of mankind's resistance against the Apocalypse, has fallen. Humankind is now under the control of the Trumpeters of the Apocalypse, the leaders of the forces of the Apocalypse. The “Martyr” who is the last resort of the Seven Angels, the guardians of humankind, is led by a mysterious signal and sets out on a journey to overthrow the Trumpeters of the Apocalypse. To find the truth behind the signal, buried under the Citadel.Beyond Citadel is a single-player FPS inspired by the FPS classics of the 90’s, featuring anime style 2.5D graphics and realistic gunplay mechanics.
◆Various weapons of realistic gunplay・From black powder firearms to futuristic energy weapons.・Each weapon requires different handling. ・Conditions of the weapons decrease on firing and sometimes they can be jammed.
◆Various locations and tough opponents・Explore the fortress and acquire new skill・In-door and out-door hand-crafted levels ・From foot soldiers to armored vehicles… and horrific hostile creatures!
◆Atmospheric world and unique characters・You are not alone. Your allies will aid you on your journey.・Intense destructive effects color the dark futuric world.
Overthrow the Trumpeters and cancel the Apocalypse.The world is relying on you…",80.0,beyond citadel
990567,cronos-the-new-dawn,Cronos: The New Dawn,2025-09-04,Adventure|Action,Singleplayer|Для одного игрока|Экшен|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Глубокий сюжет|Story Rich|От третьего лица|Third Person|Научная фантастика|Sci-fi|Horror|Сложная|Gore|Difficult|Action-Adventure|Шутер от третьего лица|Мрачная|Third-Person Shooter|Dark|Приключенческий экшен|Хоррор на выживание|Survival Horror|Post-apocalyptic|Crafting|Крафтинг|combat|Futuristic|Будущее|Dystopian|Антиутопия|Атмосферная|Бой|Управление ресурсами|Resource Management|Family Sharing|Time Travel|Путешествия во времени|Постапокалипсис|HDR available|Сцены жестокости,3.93,PC|PlayStation 5|Xbox Series S/X|Linux,,,"Cronos: The New Dawn is a pulse-pounding, third-person survival horror game where time is your deadliest weapon — and your worst enemy. Survive a brutal future, dive back in time, and stop nightmarish creatures from merging into unstoppable abominations.",78.60000000000001,cronos: the new dawn
618709,slime-rancher-2,Slime Rancher 2,2025-09-23,Adventure|Action|Casual|Simulation|Indie,Singleplayer|Для одного игрока|Экшен|Приключение|Multiplayer|Full controller support|Для нескольких игроков|Открытый мир|Open World|Казуальная игра|От первого лица|First-Person|FPS|Шутер от первого лица|Симулятор|Фэнтези|Fantasy|Female Protagonist|Action-Adventure|Ранний доступ|Early Access|Для всей семьи|Милая|Приключенческий экшен|Цветастая|Family Friendly|Cute|3D|Colorful|Строительство|Building|Расслабляющая|Relaxing|Протагонистка|Creature Collector|Поиск существ,3.92,PC|Xbox Series S/X,,,"Slime Rancher 2 is a sequel to the award-winning, smash-hit original that has been enjoyed by over 10 million fans worldwide. Continue the adventures of Beatrix LeBeau as she journeys to Rainbow Island, a mysterious land brimming with ancient technology, unknown natural resources, and an avalanche of wiggling, jiggling, new slimes to discover.

As Beatrix attempts to unravel the island’s secrets and uncover its true purpose, she’ll build, ranch, and farm within a beautiful conservatory, whose sparkling glass walls give her full view of the prismatic paradise she now calls home.

Features:
Explore a Vibrant New World
Continue the slime ranching adventures of Beatrix LeBeau as she journeys to a mysterious rainbow-hued island.
Discover Wiggly New Slimes
Collect slimes never seen before on the Far, Far Range, like the bouncy cotton slime or the aquatic angler slime.
Build a Conservatory on Rainbow Island
Earn newbucks from slime plorts and collect resources on Rainbow Island to upgrade your vacpack, build new gadgets, and expand your conservatory.",78.4,slime rancher 2
987516,dying-light-the-beast,Dying Light: The Beast,2025-09-18,Shooter|Adventure|Action|RPG,Singleplayer|Для одного игрока|Экшен|Приключение|Steam Achievements|Multiplayer|Steam Cloud|Для нескольких игроков|Глубокий сюжет|RPG|Co-op|Ролевая игра|Story Rich|Открытый мир|Open World|От первого лица|First-Person|Partial Controller Support|Horror|Online Co-Op|Gore|Exploration|Насилие|Violent|Action-Adventure|Action RPG|Ролевой экшен|Zombies|Зомби|Приключенческий экшен|Post-apocalyptic|Реализм|Realistic|combat|Паркур|Parkour|Исследования|Бой|Family Sharing|Совместная кампания|Remote Play on TV|Co-op Campaign|Постапокалипсис|Сцены жестокости,3.92,PC|PlayStation 5|Xbox Series S/X,,,"Pre-Order BonusPre-order the Standard Edition now to get the exclusive Hero of Harran Bundle, which contains:- Ultimate Survivor Outfit
- Harran Combat Knife (+ Upgradable Blueprint)
- The Follower Crossbow (+ Upgradable Blueprint)
- In Jade’s Memory Pistol (+ Upgradable Blueprint)
- Castor Woods Patrol
Deluxe EditionTake your Dying Light: The Beast experience to another level with the Deluxe Edition. You'll receive the Official Soundtrack, wallpapers, and the Castor Woods Prepper Bundle, as well as a detailed tourist map that highlights locations worth exploring.INCLUDES:
– Official Soundtrack
– Wallpaper Pack
– Castor Woods Tourist Map
– Castor Woods Prepper Bundle
– Castor Woods Prepper Outfit
– Survivalist SMG
– Roadhog
Editions
About the GameGet ready for a unique blend of open world and action survival horror with Dying Light: The Beast.You are Kyle Crane. After being captured by the Baron and enduring his painful experiments for years, you escape. But now, a battle rages inside you: zombie DNA clashes with human, and you struggle to control the beast within. You want revenge... but first you must tame it. It's your only option.Once you enter the zombie-infested Castor Woods, every battle will be a fight for survival… especially when night falls. Play as Kyle Crane, a hero with the DNA of both man and beast. Freely switch between two playstyles and face a fierce conflict that lead to the acceptance of the monster within.
Push the brutality of Dying Light’s combat to the extreme. Crush skulls, rip heads off, and tear enemies in half as you constantly fight to control your evolving beastly powers.
The distinct experiences of night and day, a signature of the Dying Light series, merge into one unique whole. Explore and scavenge by day, but remember the constantly ticking clock. Because once the sun sets, the night unleashes horrors that leave you with just three choices: run, hide or fight for your life.
Feel the adrenaline rush of best-in-class first-person parkour. Jump from rooftop to rooftop and overcome any obstacle. And when that’s not enough, grab the wheel of an off-road vehicle and ruthlessly tear through hordes of zombies. The advanced movement system is easily accessible, but rewards those who master it. Next-gen visuals bring the hand-crafted zombie apocalypse to life. Every detail tells a story of survival. Lose yourself in the majesty of Castor Woods: explore the tourist town, industrial area, national park, farmland, swamps and more. All full of beauty… and decay.
Band together with up to three other players in co-op! Brave the dangers of Castor Woods, where you can experience every encounter, every discovery and every twist as a unit with shared progress.
Important: Anyone who purchased the Ultimate Edition of Dying Light 2 Stay Human will receive Dying Light: The Beast at no additional charge.",78.4,dying light: the beast
